STATION,NAME,LAT,LON,ELEV,YEAR,PRCP,TAVG,TMAX,TMIN,LOSS_HA,LOSS_FIRES_HA
PO000008546,PORTO,41.1331,-8.6,93,2001,1476.2,14.9,19,10.9,583.5929411,101.7035735
PO000008546,PORTO,41.1331,-8.6,93,2002,1626.7,15,18.9,11.1,1095.420915,294.2640937
PO000008546,PORTO,41.1331,-8.6,93,2003,1393.3,15.4,19.4,11.3,314.1131834,53.38997081
PO000008546,PORTO,41.1331,-8.6,93,2004,931.2,14.9,19.1,10.8,1226.141153,135.2753114
PO000008546,PORTO,41.1331,-8.6,93,2005,609.9,15.2,19.6,10.9,1332.407881,506.0775338
PO000008546,PORTO,41.1331,-8.6,93,2006,1180.3,15.9,20,11.8,1484.993382,317.7452317
PO000008546,PORTO,41.1331,-8.6,93,2007,636.1,15.2,19.7,10.7,1262.280538,51.39463417
PO000008546,PORTO,41.1331,-8.6,93,2008,1011,15,19.1,10.8,1299.430856,22.10534155
PO000008546,PORTO,41.1331,-8.6,93,2009,1198.2,15.4,19.6,11.1,1566.145938,290.9703979
PO000008549,COIMBRA,40.2,-8.4167,141,2001,1033.2,16,21.4,10.6,1787.169581,218.5485233
PO000008549,COIMBRA,40.2,-8.4167,141,2002,1101,16.1,21.4,10.9,2631.53944,678.4543288
PO000008549,COIMBRA,40.2,-8.4167,141,2003,1068.4,16.4,21.7,11.1,708.8926719,59.13965774
PO000008549,COIMBRA,40.2,-8.4167,141,2004,684.1,15.9,21.5,10.2,1869.515432,183.2515811
PO000008549,COIMBRA,40.2,-8.4167,141,2005,564.5,16.2,22.3,10.1,7008.968192,4410.098672
PO000008549,COIMBRA,40.2,-8.4167,141,2006,1101.1,16.8,22.1,11.4,4516.542884,1528.665763
PO000008549,COIMBRA,40.2,-8.4167,141,2007,581.7,16,21.8,10.2,3807.046193,81.57677527
PO000008549,COIMBRA,40.2,-8.4167,141,2008,734.1,15.9,21.4,10.3,4174.441665,43.61257089
PO000008549,COIMBRA,40.2,-8.4167,141,2009,1013.7,16.4,22.1,10.7,5433.909469,111.5105158
