STATION,NAME,LAT,LON,ELEV,YEAR,PRECIP,TAVG,TMAX,TMIN,LOSS_HA,LOSS_FIRES_HA
PO000008546,PORTO,41.1331,-8.6,93,2000,1569.6,14.8,18.8,10.8,-,-
PO000008546,PORTO,41.1331,-8.6,93,2001,1476.2,14.9,19,10.9,583.5929411,101.7035735
PO000008546,PORTO,41.1331,-8.6,93,2002,1626.7,15,18.9,11.1,1095.420915,294.2640937
PO000008546,PORTO,41.1331,-8.6,93,2003,1393.3,15.4,19.4,11.3,314.1131834,53.38997081
PO000008546,PORTO,41.1331,-8.6,93,2004,931.2,14.9,19.1,10.8,1226.141153,135.2753114
PO000008546,PORTO,41.1331,-8.6,93,2005,609.9,15.2,19.6,10.9,1332.407881,506.0775338
PO000008546,PORTO,41.1331,-8.6,93,2006,1180.3,15.9,20,11.8,1484.993382,317.7452317
PO000008546,PORTO,41.1331,-8.6,93,2007,636.1,15.2,19.7,10.7,1262.280538,51.39463417
PO000008546,PORTO,41.1331,-8.6,93,2008,1011,15,19.1,10.8,1299.430856,22.10534155
PO000008546,PORTO,41.1331,-8.6,93,2009,1198.2,15.4,19.6,11.1,1566.145938,290.9703979
PO000008546,PORTO,41.1331,-8.6,93,2010,-,-,-,-,1916.709367,364.1067847
PO000008546,PORTO,41.1331,-8.6,93,2011,-,-,-,-,784.9079986,166.2546058
PO000008546,PORTO,41.1331,-8.6,93,2012,-,-,-,-,1967.877236,508.2987813
PO000008546,PORTO,41.1331,-8.6,93,2013,-,-,-,-,3092.861944,1800.680037
PO000008546,PORTO,41.1331,-8.6,93,2014,-,-,-,-,3796.815037,1429.080498
PO000008546,PORTO,41.1331,-8.6,93,2015,-,-,-,-,1720.374241,249.2350629
PO000008546,PORTO,41.1331,-8.6,93,2016,-,-,-,-,4727.291941,2172.216885
PO000008546,PORTO,41.1331,-8.6,93,2017,-,-,-,-,3751.01242,1574.579732
PO000008546,PORTO,41.1331,-8.6,93,2018,-,-,-,-,2983.774691,429.3639715
PO000008546,PORTO,41.1331,-8.6,93,2019,-,-,-,-,1775.709986,217.5004558
PO000008546,PORTO,41.1331,-8.6,93,2020,-,-,-,-,2338.685512,489.5020461
PO000008546,PORTO,41.1331,-8.6,93,2021,-,-,-,-,1621.426871,158.6985257
PO000008546,PORTO,41.1331,-8.6,93,2022,-,-,-,-,2218.694689,860.4486901
PO000008549,COIMBRA,40.2,-8.4167,141,2000,1114.8,15.9,21.2,10.7,-,-
PO000008549,COIMBRA,40.2,-8.4167,141,2001,1033.2,16,21.4,10.6,1787.169581,218.5485233
PO000008549,COIMBRA,40.2,-8.4167,141,2002,1101,16.1,21.4,10.9,2631.53944,678.4543288
PO000008549,COIMBRA,40.2,-8.4167,141,2003,1068.4,16.4,21.7,11.1,708.8926719,59.13965774
PO000008549,COIMBRA,40.2,-8.4167,141,2004,684.1,15.9,21.5,10.2,1869.515432,183.2515811
PO000008549,COIMBRA,40.2,-8.4167,141,2005,564.5,16.2,22.3,10.1,7008.968192,4410.098672
PO000008549,COIMBRA,40.2,-8.4167,141,2006,1101.1,16.8,22.1,11.4,4516.542884,1528.665763
PO000008549,COIMBRA,40.2,-8.4167,141,2007,581.7,16,21.8,10.2,3807.046193,81.57677527
PO000008549,COIMBRA,40.2,-8.4167,141,2008,734.1,15.9,21.4,10.3,4174.441665,43.61257089
PO000008549,COIMBRA,40.2,-8.4167,141,2009,1013.7,16.4,22.1,10.7,5433.909469,111.5105158
PO000008549,COIMBRA,40.2,-8.4167,141,2010,-,-,-,-,4905.860577,404.3361967
PO000008549,COIMBRA,40.2,-8.4167,141,2011,-,-,-,-,3598.088,102.6968123
PO000008549,COIMBRA,40.2,-8.4167,141,2012,-,-,-,-,7243.1247,2469.270692
PO000008549,COIMBRA,40.2,-8.4167,141,2013,-,-,-,-,5125.569305,909.5866893
PO000008549,COIMBRA,40.2,-8.4167,141,2014,-,-,-,-,6705.256862,531.8345983
PO000008549,COIMBRA,40.2,-8.4167,141,2015,-,-,-,-,5037.140721,525.9116266
PO000008549,COIMBRA,40.2,-8.4167,141,2016,-,-,-,-,7820.895323,619.3917848
PO000008549,COIMBRA,40.2,-8.4167,141,2017,-,-,-,-,43754.94908,37452.44192
PO000008549,COIMBRA,40.2,-8.4167,141,2018,-,-,-,-,16597.7051,8853.076245
PO000008549,COIMBRA,40.2,-8.4167,141,2019,-,-,-,-,2970.550377,162.7183209
PO000008549,COIMBRA,40.2,-8.4167,141,2020,-,-,-,-,4376.933005,166.2680045
PO000008549,COIMBRA,40.2,-8.4167,141,2021,-,-,-,-,3420.116175,33.77938179
PO000008549,COIMBRA,40.2,-8.4167,141,2022,-,-,-,-,2765.115345,79.03033852
