STATION,NAME,LAT,LON,ELEV,YEAR,PRCP,TAVG,TMAX,TMIN
PO000008546,PORTO,41.1331,-8.6,93,2001,1476.2,14.9,19,10.9
PO000008546,PORTO,41.1331,-8.6,93,2002,1626.7,15,18.9,11.1
PO000008546,PORTO,41.1331,-8.6,93,2003,1393.3,15.4,19.4,11.3
PO000008546,PORTO,41.1331,-8.6,93,2004,931.2,14.9,19.1,10.8
PO000008546,PORTO,41.1331,-8.6,93,2005,609.9,15.2,19.6,10.9
PO000008546,PORTO,41.1331,-8.6,93,2006,1180.3,15.9,20,11.8
PO000008546,PORTO,41.1331,-8.6,93,2007,636.1,15.2,19.7,10.7
PO000008546,PORTO,41.1331,-8.6,93,2008,1011,15,19.1,10.8
PO000008546,PORTO,41.1331,-8.6,93,2009,1198.2,15.4,19.6,11.1
PO000008549,COIMBRA,40.2,-8.4167,141,2001,1033.2,16,21.4,10.6
PO000008549,COIMBRA,40.2,-8.4167,141,2002,1101,16.1,21.4,10.9
PO000008549,COIMBRA,40.2,-8.4167,141,2003,1068.4,16.4,21.7,11.1
PO000008549,COIMBRA,40.2,-8.4167,141,2004,684.1,15.9,21.5,10.2
PO000008549,COIMBRA,40.2,-8.4167,141,2005,564.5,16.2,22.3,10.1
PO000008549,COIMBRA,40.2,-8.4167,141,2006,1101.1,16.8,22.1,11.4
PO000008549,COIMBRA,40.2,-8.4167,141,2007,581.7,16,21.8,10.2
PO000008549,COIMBRA,40.2,-8.4167,141,2008,734.1,15.9,21.4,10.3
PO000008549,COIMBRA,40.2,-8.4167,141,2009,1013.7,16.4,22.1,10.7
