STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
PO000008546,"PORTO, PO",41.1331,-8.6,93,2000,1569.6," ,E",14.8,E,18.8,E,10.8,E
PO000008546,"PORTO, PO",41.1331,-8.6,93,2001,1476.2," ,E",14.9,E,19,E,10.9,E
PO000008546,"PORTO, PO",41.1331,-8.6,93,2002,1626.7," ,E",15,E,18.9,E,11.1,E
PO000008546,"PORTO, PO",41.1331,-8.6,93,2003,1393.3," ,E",15.4,E,19.4,E,11.3,E
PO000008546,"PORTO, PO",41.1331,-8.6,93,2004,931.2," ,E",14.9,E,19.1,E,10.8,E
PO000008546,"PORTO, PO",41.1331,-8.6,93,2005,609.9," ,E",15.2,E,19.6,E,10.9,E
PO000008546,"PORTO, PO",41.1331,-8.6,93,2006,1180.3," ,E",15.9,E,20,E,11.8,E
PO000008546,"PORTO, PO",41.1331,-8.6,93,2007,636.1," ,E",15.2,E,19.7,E,10.7,E
PO000008546,"PORTO, PO",41.1331,-8.6,93,2008,1011," ,E",15,E,19.1,E,10.8,E
PO000008546,"PORTO, PO",41.1331,-8.6,93,2009,1198.2," ,E",15.4,E,19.6,E,11.1,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2000,1114.8," ,E",15.9,E,21.2,E,10.7,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2001,1033.2," ,E",16,E,21.4,E,10.6,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2002,1101," ,E",16.1,E,21.4,E,10.9,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2003,1068.4," ,E",16.4,E,21.7,E,11.1,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2004,684.1," ,E",15.9,E,21.5,E,10.2,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2005,564.5," ,E",16.2,E,22.3,E,10.1,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2006,1101.1," ,E",16.8,E,22.1,E,11.4,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2007,581.7," ,E",16,E,21.8,E,10.2,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2008,734.1," ,E",15.9,E,21.4,E,10.3,E
PO000008549,"COIMBRA, PO",40.2,-8.4167,141,2009,1013.7," ,E",16.4,E,22.1,E,10.7,E
