"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2018/01/01","00:00","0.464","-","0.626"
"2018/01/01","01:00","0.433","-","0.535"
"2018/01/01","02:00","0.397","-","0.481"
"2018/01/01","03:00","0.366","-","0.47"
"2018/01/01","04:00","0.346","-","0.434"
"2018/01/01","05:00","0.331","-","0.436"
"2018/01/01","06:00","0.308","-","0.393"
"2018/01/01","07:00","0.264","-","0.384"
"2018/01/01","08:00","0.19","-","0.331"
"2018/01/01","09:00","0.087","-","0.202"
"2018/01/01","10:00","-0.031","-","0.079"
"2018/01/01","11:00","-0.142","-","-0.055"
"2018/01/01","12:00","-0.227","-","-0.14"
"2018/01/01","13:00","-0.277","-","-0.167"
"2018/01/01","14:00","-0.283","-","-0.167"
"2018/01/01","15:00","-0.239","-","-0.122"
"2018/01/01","16:00","-0.146","-","-0.007"
"2018/01/01","17:00","-0.015","-","0.165"
"2018/01/01","18:00","0.132","-","0.249"
"2018/01/01","19:00","0.274","-","0.367"
"2018/01/01","20:00","0.389","-","0.495"
"2018/01/01","21:00","0.464","-","0.558"
"2018/01/01","22:00","0.5","-","0.613"
"2018/01/01","23:00","0.509","-","0.585"
"2018/01/02","00:00","0.5","-","0.574"
"2018/01/02","01:00","0.477","-","0.536"
"2018/01/02","02:00","0.443","-","0.568"
"2018/01/02","03:00","0.407","-","0.436"
"2018/01/02","04:00","0.377","-","0.403"
"2018/01/02","05:00","0.354","-","0.386"
"2018/01/02","06:00","0.335","-","0.355"
"2018/01/02","07:00","0.31","-","0.35"
"2018/01/02","08:00","0.261","-","0.285"
"2018/01/02","09:00","0.179","-","0.264"
"2018/01/02","10:00","0.066","-","0.129"
"2018/01/02","11:00","-0.058","-","-0.047"
"2018/01/02","12:00","-0.17","-","-0.093"
"2018/01/02","13:00","-0.254","-","-0.174"
"2018/01/02","14:00","-0.3","-","-0.161"
"2018/01/02","15:00","-0.298","-","-0.199"
"2018/01/02","16:00","-0.245","-","-0.131"
"2018/01/02","17:00","-0.145","-","0.006"
"2018/01/02","18:00","-0.009","-","0.182"
"2018/01/02","19:00","0.143","-","0.373"
"2018/01/02","20:00","0.288","-","0.518"
"2018/01/02","21:00","0.398","-","0.625"
"2018/01/02","22:00","0.465","-","0.68"
"2018/01/02","23:00","0.495","-","0.67"
"2018/01/03","00:00","0.501","-","0.7"
"2018/01/03","01:00","0.489","-","0.705"
"2018/01/03","02:00","0.465","-","0.594"
"2018/01/03","03:00","0.433","-","0.562"
"2018/01/03","04:00","0.399","-","0.549"
"2018/01/03","05:00","0.369","-","0.523"
"2018/01/03","06:00","0.347","-","0.471"
"2018/01/03","07:00","0.332","-","0.449"
"2018/01/03","08:00","0.31","-","0.381"
"2018/01/03","09:00","0.259","-","0.319"
"2018/01/03","10:00","0.171","-","0.259"
"2018/01/03","11:00","0.056","-","0.135"
"2018/01/03","12:00","-0.065","-","-0.064"
"2018/01/03","13:00","-0.172","-","-0.195"
"2018/01/03","14:00","-0.251","-","-0.245"
"2018/01/03","15:00","-0.288","-","-0.235"
"2018/01/03","16:00","-0.279","-","-0.24"
"2018/01/03","17:00","-0.224","-","-0.188"
"2018/01/03","18:00","-0.124","-","-0.108"
"2018/01/03","19:00","0.012","-","0.063"
"2018/01/03","20:00","0.162","-","0.24"
"2018/01/03","21:00","0.296","-","0.355"
