"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2018/08/01","00:00","0.243","-","0.42"
"2018/08/01","00:06","0.239","-","0.518"
"2018/08/01","00:12","0.234","-","0.581"
"2018/08/01","00:18","0.229","-","0.602"
"2018/08/01","00:24","0.224","-","0.539"
"2018/08/01","00:30","0.22","-","0.487"
"2018/08/01","00:36","0.215","-","0.348"
"2018/08/01","00:42","0.21","-","0.252"
"2018/08/01","00:48","0.205","-","0.142"
"2018/08/01","00:54","0.199","-","0.102"
"2018/08/01","01:00","0.194","-","0.079"
"2018/08/01","01:06","0.189","-","0.057"
"2018/08/01","01:12","0.184","-","0.059"
"2018/08/01","01:18","0.179","-","0.051"
"2018/08/01","01:24","0.174","-","0.04"
"2018/08/01","01:30","0.169","-","0.081"
"2018/08/01","01:36","0.164","-","0.117"
"2018/08/01","01:42","0.159","-","0.173"
"2018/08/01","01:48","0.154","-","0.215"
"2018/08/01","01:54","0.149","-","0.256"
"2018/08/01","02:00","0.145","-","0.299"
"2018/08/01","02:06","0.14","-","0.333"
"2018/08/01","02:12","0.136","-","0.355"
"2018/08/01","02:18","0.131","-","0.376"
"2018/08/01","02:24","0.127","-","0.357"
"2018/08/01","02:30","0.123","-","0.328"
"2018/08/01","02:36","0.119","-","0.306"
"2018/08/01","02:42","0.115","-","0.335"
"2018/08/01","02:48","0.112","-","0.339"
"2018/08/01","02:54","0.108","-","0.342"
"2018/08/01","03:00","0.105","-","0.334"
"2018/08/01","03:06","0.102","-","0.34"
"2018/08/01","03:12","0.099","-","0.308"
"2018/08/01","03:18","0.096","-","0.309"
"2018/08/01","03:24","0.093","-","0.3"
"2018/08/01","03:30","0.091","-","0.274"
"2018/08/01","03:36","0.088","-","0.291"
"2018/08/01","03:42","0.086","-","0.287"
"2018/08/01","03:48","0.084","-","0.256"
"2018/08/01","03:54","0.082","-","0.238"
"2018/08/01","04:00","0.08","-","0.25"
"2018/08/01","04:06","0.078","-","0.239"
"2018/08/01","04:12","0.077","-","0.225"
"2018/08/01","04:18","0.075","-","0.212"
"2018/08/01","04:24","0.074","-","0.191"
"2018/08/01","04:30","0.073","-","0.183"
"2018/08/01","04:36","0.072","-","0.19"
"2018/08/01","04:42","0.071","-","0.184"
"2018/08/01","04:48","0.07","-","0.2"
"2018/08/01","04:54","0.07","-","0.211"
"2018/08/01","05:00","0.069","-","0.206"
"2018/08/01","05:06","0.069","-","0.171"
"2018/08/01","05:12","0.069","-","0.167"
"2018/08/01","05:18","0.069","-","0.168"
"2018/08/01","05:24","0.07","-","0.153"
"2018/08/01","05:30","0.07","-","0.129"
"2018/08/01","05:36","0.071","-","0.153"
"2018/08/01","05:42","0.072","-","0.145"
"2018/08/01","05:48","0.073","-","0.123"
"2018/08/01","05:54","0.075","-","0.13"
"2018/08/01","06:00","0.076","-","0.136"
"2018/08/01","06:06","0.078","-","0.138"
"2018/08/01","06:12","0.081","-","0.148"
"2018/08/01","06:18","0.083","-","0.146"
"2018/08/01","06:24","0.086","-","0.143"
"2018/08/01","06:30","0.089","-","0.147"
"2018/08/01","06:36","0.092","-","0.178"
"2018/08/01","06:42","0.096","-","0.18"
"2018/08/01","06:48","0.1","-","0.21"
"2018/08/01","06:54","0.104","-","0.22"
"2018/08/01","07:00","0.108","-","0.223"
"2018/08/01","07:06","0.113","-","0.215"
