"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/07/01","00:00","-0.033","-","0.21"
"2020/07/01","00:06","-0.03","-","0.204"
"2020/07/01","00:12","-0.027","-","0.21"
"2020/07/01","00:18","-0.023","-","0.203"
"2020/07/01","00:24","-0.019","-","0.202"
"2020/07/01","00:30","-0.015","-","0.203"
"2020/07/01","00:36","-0.01","-","0.204"
"2020/07/01","00:42","-0.005","-","0.214"
"2020/07/01","00:48","0","-","0.222"
"2020/07/01","00:54","0.006","-","0.219"
"2020/07/01","01:00","0.012","-","0.235"
"2020/07/01","01:06","0.019","-","0.236"
"2020/07/01","01:12","0.025","-","0.262"
"2020/07/01","01:18","0.032","-","0.259"
"2020/07/01","01:24","0.04","-","0.246"
"2020/07/01","01:30","0.047","-","0.276"
"2020/07/01","01:36","0.055","-","0.273"
"2020/07/01","01:42","0.064","-","0.279"
"2020/07/01","01:48","0.072","-","0.257"
"2020/07/01","01:54","0.081","-","0.265"
"2020/07/01","02:00","0.09","-","0.257"
"2020/07/01","02:06","0.099","-","0.272"
"2020/07/01","02:12","0.109","-","0.296"
"2020/07/01","02:18","0.118","-","0.294"
"2020/07/01","02:24","0.128","-","0.301"
"2020/07/01","02:30","0.138","-","0.33"
"2020/07/01","02:36","0.148","-","0.361"
"2020/07/01","02:42","0.158","-","0.379"
"2020/07/01","02:48","0.169","-","0.393"
"2020/07/01","02:54","0.179","-","0.421"
"2020/07/01","03:00","0.19","-","0.41"
"2020/07/01","03:06","0.2","-","0.414"
"2020/07/01","03:12","0.211","-","0.424"
"2020/07/01","03:18","0.221","-","0.441"
"2020/07/01","03:24","0.232","-","0.447"
"2020/07/01","03:30","0.242","-","0.464"
"2020/07/01","03:36","0.252","-","0.46"
"2020/07/01","03:42","0.262","-","0.474"
"2020/07/01","03:48","0.272","-","0.506"
"2020/07/01","03:54","0.282","-","0.534"
"2020/07/01","04:00","0.291","-","0.532"
"2020/07/01","04:06","0.301","-","0.523"
"2020/07/01","04:12","0.31","-","0.537"
"2020/07/01","04:18","0.318","-","0.552"
"2020/07/01","04:24","0.327","-","0.558"
"2020/07/01","04:30","0.335","-","0.587"
"2020/07/01","04:36","0.343","-","0.585"
"2020/07/01","04:42","0.351","-","0.595"
"2020/07/01","04:48","0.358","-","0.598"
"2020/07/01","04:54","0.365","-","0.605"
"2020/07/01","05:00","0.371","-","0.615"
"2020/07/01","05:06","0.378","-","0.611"
"2020/07/01","05:12","0.384","-","0.632"
"2020/07/01","05:18","0.389","-","0.624"
"2020/07/01","05:24","0.394","-","0.65"
"2020/07/01","05:30","0.399","-","0.647"
"2020/07/01","05:36","0.404","-","0.633"
"2020/07/01","05:42","0.408","-","0.645"
"2020/07/01","05:48","0.412","-","0.648"
"2020/07/01","05:54","0.416","-","0.647"
"2020/07/01","06:00","0.419","-","0.634"
"2020/07/01","06:06","0.422","-","0.635"
"2020/07/01","06:12","0.425","-","0.653"
"2020/07/01","06:18","0.428","-","0.642"
"2020/07/01","06:24","0.43","-","0.645"
"2020/07/01","06:30","0.433","-","0.653"
"2020/07/01","06:36","0.434","-","0.646"
"2020/07/01","06:42","0.436","-","0.643"
"2020/07/01","06:48","0.438","-","0.633"
"2020/07/01","06:54","0.439","-","0.63"
"2020/07/01","07:00","0.44","-","0.636"
"2020/07/01","07:06","0.441","-","0.624"
"2020/07/01","07:12","0.442","-","0.642"
"2020/07/01","07:18","0.443","-","0.649"
"2020/07/01","07:24","0.443","-","0.652"
"2020/07/01","07:30","0.444","-","0.658"
"2020/07/01","07:36","0.444","-","0.651"
"2020/07/01","07:42","0.444","-","0.672"
"2020/07/01","07:48","0.444","-","0.675"
"2020/07/01","07:54","0.444","-","0.672"
"2020/07/01","08:00","0.444","-","0.671"
"2020/07/01","08:06","0.443","-","0.683"
"2020/07/01","08:12","0.443","-","0.696"
"2020/07/01","08:18","0.442","-","0.69"
"2020/07/01","08:24","0.442","-","0.683"
"2020/07/01","08:30","0.441","-","0.677"
"2020/07/01","08:36","0.44","-","0.675"
"2020/07/01","08:42","0.439","-","0.658"
"2020/07/01","08:48","0.438","-","0.67"
"2020/07/01","08:54","0.436","-","0.667"
"2020/07/01","09:00","0.435","-","0.661"
"2020/07/01","09:06","0.434","-","0.667"
"2020/07/01","09:12","0.432","-","0.651"
"2020/07/01","09:18","0.43","-","0.651"
"2020/07/01","09:24","0.429","-","0.633"
"2020/07/01","09:30","0.427","-","0.64"
"2020/07/01","09:36","0.425","-","0.641"
"2020/07/01","09:42","0.423","-","0.641"
"2020/07/01","09:48","0.421","-","0.649"
"2020/07/01","09:54","0.419","-","0.651"
"2020/07/01","10:00","0.417","-","0.629"
"2020/07/01","10:06","0.415","-","0.629"
"2020/07/01","10:12","0.413","-","0.632"
"2020/07/01","10:18","0.411","-","0.623"
"2020/07/01","10:24","0.408","-","0.607"
"2020/07/01","10:30","0.406","-","0.617"
"2020/07/01","10:36","0.404","-","0.61"
"2020/07/01","10:42","0.401","-","0.616"
"2020/07/01","10:48","0.399","-","0.615"
"2020/07/01","10:54","0.397","-","0.61"
"2020/07/01","11:00","0.394","-","0.623"
"2020/07/01","11:06","0.392","-","0.615"
"2020/07/01","11:12","0.39","-","0.589"
"2020/07/01","11:18","0.387","-","0.602"
"2020/07/01","11:24","0.385","-","0.601"
"2020/07/01","11:30","0.383","-","0.59"
"2020/07/01","11:36","0.381","-","0.595"
"2020/07/01","11:42","0.378","-","0.606"
"2020/07/01","11:48","0.376","-","0.606"
"2020/07/01","11:54","0.374","-","0.604"
"2020/07/01","12:00","0.372","-","0.593"
"2020/07/01","12:06","0.37","-","0.584"
"2020/07/01","12:12","0.368","-","0.592"
"2020/07/01","12:18","0.366","-","0.571"
"2020/07/01","12:24","0.364","-","0.566"
"2020/07/01","12:30","0.362","-","0.554"
"2020/07/01","12:36","0.36","-","0.557"
"2020/07/01","12:42","0.359","-","0.553"
"2020/07/01","12:48","0.357","-","0.564"
"2020/07/01","12:54","0.355","-","0.577"
"2020/07/01","13:00","0.354","-","0.576"
"2020/07/01","13:06","0.352","-","0.546"
"2020/07/01","13:12","0.351","-","0.557"
"2020/07/01","13:18","0.35","-","0.545"
"2020/07/01","13:24","0.349","-","0.535"
"2020/07/01","13:30","0.348","-","0.553"
"2020/07/01","13:36","0.347","-","0.527"
"2020/07/01","13:42","0.346","-","0.529"
"2020/07/01","13:48","0.345","-","0.529"
"2020/07/01","13:54","0.344","-","0.526"
"2020/07/01","14:00","0.344","-","0.52"
"2020/07/01","14:06","0.343","-","0.522"
"2020/07/01","14:12","0.343","-","0.528"
"2020/07/01","14:18","0.342","-","0.525"
"2020/07/01","14:24","0.342","-","0.533"
"2020/07/01","14:30","0.341","-","0.526"
"2020/07/01","14:36","0.341","-","0.514"
"2020/07/01","14:42","0.341","-","0.514"
"2020/07/01","14:48","0.34","-","0.506"
"2020/07/01","14:54","0.34","-","0.523"
"2020/07/01","15:00","0.34","-","0.542"
"2020/07/01","15:06","0.339","-","0.552"
"2020/07/01","15:12","0.339","-","0.548"
"2020/07/01","15:18","0.338","-","0.526"
"2020/07/01","15:24","0.337","-","0.517"
"2020/07/01","15:30","0.337","-","0.513"
"2020/07/01","15:36","0.336","-","0.514"
"2020/07/01","15:42","0.334","-","0.512"
"2020/07/01","15:48","0.333","-","0.514"
"2020/07/01","15:54","0.331","-","0.516"
"2020/07/01","16:00","0.33","-","0.516"
"2020/07/01","16:06","0.328","-","0.525"
"2020/07/01","16:12","0.325","-","0.507"
"2020/07/01","16:18","0.323","-","0.506"
"2020/07/01","16:24","0.32","-","0.511"
"2020/07/01","16:30","0.317","-","0.503"
"2020/07/01","16:36","0.313","-","0.504"
"2020/07/01","16:42","0.31","-","0.481"
"2020/07/01","16:48","0.306","-","0.498"
"2020/07/01","16:54","0.301","-","0.494"
"2020/07/01","17:00","0.297","-","0.519"
"2020/07/01","17:06","0.292","-","0.501"
"2020/07/01","17:12","0.287","-","0.498"
"2020/07/01","17:18","0.281","-","0.507"
"2020/07/01","17:24","0.275","-","0.481"
"2020/07/01","17:30","0.269","-","0.478"
"2020/07/01","17:36","0.263","-","0.458"
"2020/07/01","17:42","0.256","-","0.437"
"2020/07/01","17:48","0.249","-","0.436"
"2020/07/01","17:54","0.242","-","0.431"
"2020/07/01","18:00","0.235","-","0.425"
"2020/07/01","18:06","0.227","-","0.414"
"2020/07/01","18:12","0.219","-","0.412"
"2020/07/01","18:18","0.212","-","0.411"
"2020/07/01","18:24","0.204","-","0.424"
"2020/07/01","18:30","0.195","-","0.421"
"2020/07/01","18:36","0.187","-","0.413"
"2020/07/01","18:42","0.179","-","0.377"
"2020/07/01","18:48","0.17","-","0.378"
"2020/07/01","18:54","0.162","-","0.361"
"2020/07/01","19:00","0.153","-","0.351"
"2020/07/01","19:06","0.144","-","0.326"
"2020/07/01","19:12","0.136","-","0.316"
"2020/07/01","19:18","0.127","-","0.316"
"2020/07/01","19:24","0.118","-","0.31"
"2020/07/01","19:30","0.11","-","0.297"
"2020/07/01","19:36","0.101","-","0.285"
"2020/07/01","19:42","0.092","-","0.256"
"2020/07/01","19:48","0.084","-","0.253"
"2020/07/01","19:54","0.075","-","0.255"
"2020/07/01","20:00","0.067","-","0.264"
"2020/07/01","20:06","0.059","-","0.257"
"2020/07/01","20:12","0.05","-","0.27"
"2020/07/01","20:18","0.042","-","0.237"
"2020/07/01","20:24","0.034","-","0.238"
"2020/07/01","20:30","0.026","-","0.237"
"2020/07/01","20:36","0.018","-","0.224"
"2020/07/01","20:42","0.01","-","0.216"
"2020/07/01","20:48","0.003","-","0.197"
"2020/07/01","20:54","-0.005","-","0.194"
"2020/07/01","21:00","-0.012","-","0.181"
"2020/07/01","21:06","-0.019","-","0.186"
"2020/07/01","21:12","-0.026","-","0.193"
"2020/07/01","21:18","-0.033","-","0.192"
"2020/07/01","21:24","-0.04","-","0.167"
"2020/07/01","21:30","-0.046","-","0.137"
"2020/07/01","21:36","-0.052","-","0.129"
"2020/07/01","21:42","-0.059","-","0.134"
"2020/07/01","21:48","-0.064","-","0.156"
"2020/07/01","21:54","-0.07","-","0.163"
"2020/07/01","22:00","-0.075","-","0.131"
"2020/07/01","22:06","-0.081","-","0.125"
"2020/07/01","22:12","-0.086","-","0.135"
"2020/07/01","22:18","-0.09","-","0.131"
"2020/07/01","22:24","-0.095","-","0.11"
"2020/07/01","22:30","-0.099","-","0.112"
"2020/07/01","22:36","-0.103","-","0.089"
"2020/07/01","22:42","-0.106","-","0.079"
"2020/07/01","22:48","-0.11","-","0.094"
"2020/07/01","22:54","-0.113","-","0.096"
"2020/07/01","23:00","-0.116","-","0.077"
"2020/07/01","23:06","-0.118","-","0.088"
"2020/07/01","23:12","-0.12","-","0.091"
"2020/07/01","23:18","-0.122","-","0.088"
"2020/07/01","23:24","-0.124","-","0.076"
"2020/07/01","23:30","-0.125","-","0.08"
"2020/07/01","23:36","-0.126","-","0.057"
"2020/07/01","23:42","-0.126","-","0.061"
"2020/07/01","23:48","-0.126","-","0.062"
"2020/07/01","23:54","-0.126","-","0.067"
"2020/07/02","00:00","-0.126","-","0.056"
"2020/07/02","00:06","-0.125","-","0.055"
"2020/07/02","00:12","-0.124","-","0.063"
"2020/07/02","00:18","-0.122","-","0.096"
"2020/07/02","00:24","-0.12","-","0.097"
"2020/07/02","00:30","-0.118","-","0.097"
"2020/07/02","00:36","-0.115","-","0.079"
"2020/07/02","00:42","-0.112","-","0.088"
"2020/07/02","00:48","-0.109","-","0.088"
"2020/07/02","00:54","-0.105","-","0.074"
"2020/07/02","01:00","-0.101","-","0.08"
"2020/07/02","01:06","-0.096","-","0.081"
"2020/07/02","01:12","-0.091","-","0.078"
"2020/07/02","01:18","-0.086","-","0.084"
"2020/07/02","01:24","-0.08","-","0.089"
"2020/07/02","01:30","-0.074","-","0.105"
"2020/07/02","01:36","-0.067","-","0.134"
"2020/07/02","01:42","-0.06","-","0.119"
"2020/07/02","01:48","-0.052","-","0.132"
"2020/07/02","01:54","-0.044","-","0.134"
"2020/07/02","02:00","-0.036","-","0.152"
"2020/07/02","02:06","-0.027","-","0.153"
"2020/07/02","02:12","-0.018","-","0.162"
"2020/07/02","02:18","-0.008","-","0.178"
"2020/07/02","02:24","0.001","-","0.19"
"2020/07/02","02:30","0.012","-","0.187"
"2020/07/02","02:36","0.022","-","0.194"
"2020/07/02","02:42","0.033","-","0.201"
"2020/07/02","02:48","0.044","-","0.221"
"2020/07/02","02:54","0.056","-","0.237"
"2020/07/02","03:00","0.067","-","0.226"
"2020/07/02","03:06","0.079","-","0.229"
"2020/07/02","03:12","0.091","-","0.243"
"2020/07/02","03:18","0.104","-","0.265"
"2020/07/02","03:24","0.116","-","0.28"
"2020/07/02","03:30","0.129","-","0.295"
"2020/07/02","03:36","0.142","-","0.303"
"2020/07/02","03:42","0.154","-","0.319"
"2020/07/02","03:48","0.167","-","0.332"
"2020/07/02","03:54","0.18","-","0.331"
"2020/07/02","04:00","0.193","-","0.34"
"2020/07/02","04:06","0.205","-","0.331"
"2020/07/02","04:12","0.218","-","0.332"
"2020/07/02","04:18","0.23","-","0.367"
"2020/07/02","04:24","0.243","-","0.398"
"2020/07/02","04:30","0.255","-","0.412"
"2020/07/02","04:36","0.267","-","0.429"
"2020/07/02","04:42","0.279","-","0.434"
"2020/07/02","04:48","0.29","-","0.448"
"2020/07/02","04:54","0.301","-","0.466"
"2020/07/02","05:00","0.313","-","0.478"
"2020/07/02","05:06","0.323","-","0.481"
"2020/07/02","05:12","0.334","-","0.51"
"2020/07/02","05:18","0.344","-","0.5"
"2020/07/02","05:24","0.354","-","0.5"
"2020/07/02","05:30","0.363","-","0.502"
"2020/07/02","05:36","0.373","-","0.523"
"2020/07/02","05:42","0.382","-","0.548"
"2020/07/02","05:48","0.39","-","0.553"
"2020/07/02","05:54","0.398","-","0.572"
"2020/07/02","06:00","0.406","-","0.592"
"2020/07/02","06:06","0.414","-","0.596"
"2020/07/02","06:12","0.421","-","0.6"
"2020/07/02","06:18","0.428","-","0.603"
