County,Confirmed Cases,Probable Cases,Fatalities
Anderson,9090,2299,258
Andrews,2701,1798,75
Angelina,10525,3056,507
Aransas,4234,1543,98
Archer,2309,327,31
Armstrong,398,252,10
Atascosa,12266,3195,241
Austin,5577,1636,84
Bailey,1037,704,40
Bandera,2972,1254,81
Bastrop,18954,7279,256
Baylor,386,524,33
Bee,7702,2778,156
Bell,70902,18858,948
Bexar,569701,140226,6550
Blanco,1905,1384,37
Borden,88,29,2
Bosque,3083,1580,78
Bowie,13447,10911,458
Brazoria,99414,20268,1046
Brazos,69706,8439,439
Brewster,1198,326,34
Briscoe,436,134,8
Brooks,1405,809,55
Brown,7103,8896,240
Burleson,4387,1317,68
Burnet,10628,2665,182
Caldwell,14568,2647,187
Calhoun,4511,2565,55
Callahan,1685,1874,80
Cameron,94870,38028,2133
Camp,2058,1526,80
Carson,1002,555,38
Cass,5663,3389,206
Castro,2208,524,49
Chambers,10227,3126,74
Cherokee,5166,4082,261
Childress,2984,227,35
Clay,2135,372,44
Cochran,709,281,25
Coke,466,691,21
Coleman,1299,751,77
Collin,196703,85176,1635
Collingsworth,546,374,17
Colorado,3582,1067,68
Comal,30396,16742,587
Comanche,2784,1453,85
Concho,633,711,14
Cooke,6556,1915,147
Coryell,17012,4414,235
Cottle,344,54,9
Crane,542,1144,25
Crockett,299,1270,21
Crosby,1105,995,46
Culberson,536,43,14
Dallam,1502,567,45
Dallas,577772,118809,7173
Dawson,1564,1903,102
Deaf Smith,4374,1916,119
Delta,6931,2990,28
Denton,207788,62531,1461
DeWitt,4459,715,116
Dickens,242,263,16
Dimmit,5166,1080,52
Donley,493,786,26
Duval,3169,1279,74
Eastland,2390,1039,120
Ector,25156,21319,740
Edwards,368,197,12
El Paso,217845,28772,3921
Ellis,44146,13912,620
Erath,6723,3242,132
Falls,3560,782,72
Fannin,4926,3303,194
Fayette,3478,1853,119
Fisher,534,176,28
Floyd,1328,874,50
Foard,183,55,12
Fort Bend,216337,39671,1260
Franklin,1655,1018,46
Freestone,2333,1764,88
Frio,6358,1624,95
Gaines,1018,739,85
Galveston,106366,10341,910
Garza,649,726,31
Gillespie,3632,2609,120
Glasscock,97,150,3
Goliad,1341,430,34
Gonzales,3625,1660,107
Gray,4062,2727,134
Grayson,24536,7756,688
Gregg,12812,9824,730
Grimes,8115,1442,129
Guadalupe,30041,15106,433
Hale,5703,1686,251
Hall,958,268,24
Hamilton,1708,375,36
Hansford,730,1525,33
Hardeman,580,65,23
Hardin,7585,7762,262
Harris,1171407,148960,11691
Harrison,7403,8359,239
Hartley,877,411,3
Haskell,547,601,41
Hays,68832,9314,478
Hemphill,1215,222,10
Henderson,13992,3836,448
Hidalgo,180525,89139,3702
Hill,6652,2812,207
Hockley,7415,1409,169
Hood,9862,5076,302
Hopkins,5541,3158,193
Houston,2455,2458,121
Howard,4205,4166,196
Hudspeth,1141,236,18
Hunt,13841,6476,379
Hutchinson,5315,1490,149
Irion,301,329,3
Jack,1485,212,32
Jackson,2992,916,64
Jasper,5647,3751,202
Jeff Davis,214,65,10
Jefferson,56563,8773,882
Jim Hogg,826,2981,23
Jim Wells,10181,4427,226
Johnson,40107,12874,792
Jones,4088,2113,97
Karnes,5462,1082,75
Kaufman,32735,9749,563
Kendall,5897,4106,135
Kenedy,57,48,2
Kent,84,144,4
