date,time,water_level,water_temp,wind_speed,wind_dir,wind_gust,air_temp
01-07-20,00:00,0.3575,30,6.9,163,8.1,29.4
01-07-20,01:00,0.3183,29.9,7.6,163,8.8,29.1
01-07-20,02:00,0.2868,29.8,6.7,166,7.7,29
01-07-20,03:00,0.2749,29.7,7.6,169,8.8,29.1
01-07-20,04:00,0.2864,29.6,8.3,169,9.8,29
01-07-20,05:00,0.3295,29.5,6.5,177,8.6,29
01-07-20,06:00,0.3813,29.5,7.5,178,9.2,29
01-07-20,07:00,0.4456,29.5,9.1,183,11,29.1
01-07-20,08:00,0.5038,29.4,8.6,186,10.8,28.9
01-07-20,09:00,0.5516,29.2,9.6,192,10.8,28.8
01-07-20,10:00,0.6035,29.1,7.5,189,9.3,28.7
01-07-20,11:00,0.6362,29.1,7,199,8.1,28.4
01-07-20,12:00,0.657,29,7.6,190,8.6,28.6
01-07-20,13:00,0.6639,28.9,7.9,189,10,28.8
01-07-20,14:00,0.6517,28.8,8.5,187,10,28.9
01-07-20,15:00,0.6287,28.8,7.4,193,9.3,29.1
01-07-20,16:00,0.6011,28.9,7.6,193,9.8,29.5
01-07-20,17:00,0.5839,29,8.6,193,10.8,29.6
01-07-20,18:00,0.5645,29,8.7,195,9.7,29.9
01-07-20,19:00,0.5458,29.4,7.2,195,9.7,30
01-07-20,20:00,0.5088,29.3,7.8,185,9.8,30.1
01-07-20,21:00,0.4647,29.7,8,192,10.2,30.1
01-07-20,22:00,0.4142,29.8,7.6,176,8.6,30
01-07-20,23:00,0.3564,30.1,7.2,185,8.5,29.9
02-07-20,00:00,0.3092,30.3,6.5,171,8.3,29.7
02-07-20,01:00,0.2656,30.2,6.5,164,7.6,29.1
02-07-20,02:00,0.2269,30,5.9,164,7.6,28.9
02-07-20,03:00,0.177,29.8,7.2,171,8.1,28.9
02-07-20,04:00,0.1736,29.7,7.5,178,8.3,29
02-07-20,05:00,0.214,29.6,6.5,181,8.5,28.9
02-07-20,06:00,0.2672,29.5,7.8,178,8.5,28.9
02-07-20,07:00,0.3242,29.4,7.4,185,8.4,28.9
02-07-20,08:00,0.3799,29.4,6.9,179,8,28.7
02-07-20,09:00,0.4317,29.4,6.7,189,8.1,28.7
02-07-20,10:00,0.4724,29.3,5.9,205,7.4,28.3
02-07-20,11:00,0.5244,29.4,3.1,221,4.6,28
02-07-20,12:00,0.5684,29.4,2.7,221,4,27.8
02-07-20,13:00,0.5903,29.2,2.6,228,4.7,28.3
02-07-20,14:00,0.5928,29.2,3.1,210,4.4,29.1
02-07-20,15:00,0.585,29.4,4.9,192,5.9,29.9
02-07-20,16:00,0.5668,29.6,4.8,186,6.1,30.2
02-07-20,17:00,0.5354,30,6.2,182,6.9,30.4
02-07-20,18:00,0.498,30.3,6.2,188,6.9,30.7
02-07-20,19:00,0.4773,30.7,5.5,184,6.7,31
02-07-20,20:00,0.4494,31.1,4.5,182,5.9,31.5
02-07-20,21:00,0.405,30.8,4.3,183,5.5,31.6
02-07-20,22:00,0.3426,31.1,6.1,194,6.8,31.2
02-07-20,23:00,0.2687,31.6,6.7,199,7.6,31
03-07-20,00:00,0.2105,31.7,6.9,201,7.5,30.3
03-07-20,01:00,0.155,31.5,7.8,195,8.8,29.8
03-07-20,02:00,0.1109,31.4,7.3,195,8.2,29.3
03-07-20,03:00,0.0796,31.1,6.8,198,7.8,29.1
03-07-20,04:00,0.0761,31,4.6,208,5.8,28.7
03-07-20,05:00,0.1047,31,3.9,208,5.1,28.5
03-07-20,06:00,0.1397,30.5,3.8,216,5,28
03-07-20,07:00,0.1778,30.4,3.2,218,4.6,27.5
03-07-20,08:00,0.2334,30.3,2.8,225,4.8,27.3
03-07-20,09:00,0.3073,30.2,2,227,3.4,27.3
03-07-20,10:00,0.3572,30.1,2.4,244,3.7,26.9
03-07-20,11:00,0.4301,30.1,2.9,246,3.9,26.5
03-07-20,12:00,0.5052,30,1.4,283,2.3,26.1
03-07-20,13:00,0.5422,29.7,0.5,278,1,27.7
03-07-20,14:00,0.5487,29.7,1.4,235,1.8,28.4
03-07-20,15:00,0.5383,29.7,2.2,287,4,29.4
03-07-20,16:00,0.5217,29.7,3.4,249,4.8,29.9
03-07-20,17:00,0.5073,29.9,3.5,235,4.8,30.6
03-07-20,18:00,0.4768,30.2,3.7,230,5.4,31.2
03-07-20,19:00,0.4394,30.8,2.4,264,4.7,32.5
03-07-20,20:00,0.4056,31.4,3.6,235,6,32.7
03-07-20,21:00,0.3696,31.5,4.3,222,5.4,33.3
03-07-20,22:00,0.3203,31.4,2.7,244,4.5,34
03-07-20,23:00,0.2634,31.5,1.9,221,3.2,33.6
04-07-20,00:00,0.234,32.1,4.7,160,5.4,30.9
04-07-20,01:00,0.2484,31.6,8.9,73,10,27.2
04-07-20,02:00,0.097,31.3,4.7,87,5.8,26.1
04-07-20,03:00,0.0162,31.1,2.2,179,2.8,26.3
04-07-20,04:00,-0.0207,31,2.1,221,3,26.6
04-07-20,05:00,-0.0278,31.2,2.1,237,2.6,26.4
04-07-20,06:00,0.0143,31,1.4,276,1.8,25.2
04-07-20,07:00,0.0354,30.9,1.1,302,1.4,25.2
04-07-20,08:00,0.1065,30.8,0.8,238,1.8,26.1
04-07-20,09:00,0.1862,30.6,0.8,233,1.2,26.4
04-07-20,10:00,0.2528,30.6,1,259,1.4,26.4
04-07-20,11:00,0.3051,30.4,1.7,265,2.3,25.9
04-07-20,12:00,0.3643,30.1,0.9,286,1.7,25.7
04-07-20,13:00,0.3966,30,1,289,2.3,27.3
04-07-20,14:00,0.4233,30,2.3,284,4.9,28.2
04-07-20,15:00,0.4556,30,2.8,280,5.7,28.6
04-07-20,16:00,0.4823,30,3.6,275,5.4,29.7
04-07-20,17:00,0.4905,30.1,0.5,307,3.7,30.8
04-07-20,18:00,0.494,30.2,2,282,4.1,31.5
04-07-20,19:00,0.4963,30.5,1.4,91,1.9,31.4
04-07-20,20:00,0.489,32,2.2,72,2.5,31.4
04-07-20,21:00,0.464,31.9,2.6,123,3,31.6
04-07-20,22:00,0.4526,32.9,4.6,132,5.3,31.3
04-07-20,23:00,0.4028,32.9,6.3,160,7.3,31.2
05-07-20,00:00,0.3441,32.5,6.1,180,6.8,30.8
05-07-20,01:00,0.2784,32.3,5.7,195,7,30.1
05-07-20,02:00,0.2095,32.1,6.2,193,7.2,29.6
05-07-20,03:00,0.1478,31.9,5.7,208,7,29.2
05-07-20,04:00,0.0896,31.8,4.3,222,5.8,28.5
05-07-20,05:00,0.0512,31.9,3.2,221,4.7,27.9
05-07-20,06:00,0.0385,31.6,3.5,228,5.2,27.5
05-07-20,07:00,0.0658,31.5,3.9,223,4.8,27.2
05-07-20,08:00,0.1044,31.4,3,232,4.2,27
05-07-20,09:00,0.1612,31,3.1,234,5.9,26.9
05-07-20,10:00,0.2287,30.6,2.6,227,4.9,26.6
05-07-20,11:00,0.3031,30.7,1.6,269,2.8,25.8
05-07-20,12:00,0.3674,30.6,2.2,231,3.3,26.3
05-07-20,13:00,0.4111,30.4,2.5,231,4.2,27.2
05-07-20,14:00,0.4345,30.4,4.1,236,6.3,28.3
05-07-20,15:00,0.474,30.5,4.2,243,6.1,29.1
05-07-20,16:00,0.5183,30.5,4.3,221,5.7,29.7
05-07-20,17:00,0.5444,30.5,3.3,250,5.5,30.7
05-07-20,18:00,0.5502,30.3,3.5,245,5,31.4
05-07-20,19:00,0.5471,30.2,1.6,232,3.9,31.4
05-07-20,20:00,0.5267,30.3,1.9,58,2.5,31
05-07-20,21:00,0.5013,30.8,3.2,75,3.8,31.3
05-07-20,22:00,0.4649,32.3,4.7,147,6.7,31.5
