Date,Time (GMT),Highest,MHHW (m),MHW (m),MSL (m),MTL (m),MLW (m),MLLW (m),Lowest (m),Inf
01-01-00,00:00,0.525,0.14,0.14,-0.025,-0.04,-0.22,-0.22,-0.772,0
01-02-00,00:00,0.353,0.139,0.139,0.012,-0.006,-0.151,-0.151,-0.433,0
01-03-00,00:00,0.509,0.239,0.223,0.103,0.089,-0.044,-0.072,-0.416,0
01-04-00,00:00,0.522,0.229,0.223,0.099,0.077,-0.068,-0.078,-0.501,0
01-05-00,00:00,0.695,0.38,0.362,0.237,0.229,0.097,0.052,-0.124,0
01-06-00,00:00,0.569,0.331,0.331,0.184,0.165,0,0,-0.274,0
01-07-00,00:00,0.418,0.192,0.18,0.057,0.034,-0.112,-0.132,-0.333,0
01-08-00,00:00,0.362,0.184,0.172,0.066,0.042,-0.088,-0.104,-0.215,0
01-09-00,00:00,0.54,0.3,0.269,0.171,0.144,0.019,0.01,-0.344,0
01-10-00,00:00,NaN,0.343,0.339,0.234,0.217,0.095,0.08,NaN,11
01-11-00,00:00,NaN,0.341,0.297,0.173,0.145,-0.007,-0.018,NaN,11
01-12-00,00:00,0.538,0.137,0.137,-0.029,-0.049,-0.235,-0.235,-0.671,0
01-01-01,00:00,0.534,0.091,0.091,-0.064,-0.083,-0.257,-0.257,-0.629,0
01-02-01,00:00,0.563,0.15,0.15,0.011,0.001,-0.148,-0.175,-0.623,0
01-03-01,00:00,0.713,0.231,0.229,0.079,0.063,-0.102,-0.126,-0.624,0
01-04-01,00:00,0.643,0.411,0.383,0.257,0.245,0.107,0.069,-0.142,0
01-05-01,00:00,0.583,0.351,0.34,0.208,0.204,0.068,0.039,-0.213,0
01-06-01,00:00,1.106,0.356,0.335,0.196,0.171,0.006,-0.011,-0.251,0
01-07-01,00:00,0.401,0.264,0.255,0.114,0.091,-0.073,-0.083,-0.256,0
01-08-01,00:00,0.528,0.321,0.317,0.172,0.157,-0.003,-0.017,-0.272,0
01-09-01,00:00,0.627,0.431,0.404,0.284,0.264,0.125,0.096,-0.061,0
01-10-01,00:00,0.9,0.496,0.458,0.345,0.327,0.196,0.179,-0.073,0
01-11-01,00:00,0.737,0.41,0.402,0.259,0.244,0.087,0.069,-0.276,0
01-12-01,00:00,0.551,0.316,0.306,0.149,0.126,-0.054,-0.055,-0.315,0
01-01-02,00:00,0.455,0.18,0.18,0.015,-0.006,-0.191,-0.191,-0.657,0
