Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
01-01-18,00:00,0.116,-,0.172
01-01-18,01:00,0.163,-,0.204
01-01-18,02:00,0.195,-,0.213
01-01-18,03:00,0.213,-,0.217
01-01-18,04:00,0.222,-,0.215
01-01-18,05:00,0.226,-,0.201
01-01-18,06:00,0.226,-,0.141
01-01-18,07:00,0.223,-,0.142
01-01-18,08:00,0.215,-,0.096
01-01-18,09:00,0.198,-,0.113
01-01-18,10:00,0.168,-,0.111
01-01-18,11:00,0.122,-,0.018
01-01-18,12:00,0.06,-,-0.052
01-01-18,13:00,-0.015,-,-0.108
01-01-18,14:00,-0.097,-,-0.18
01-01-18,15:00,-0.176,-,-0.24
01-01-18,16:00,-0.243,-,-0.268
01-01-18,17:00,-0.288,-,-0.292
01-01-18,18:00,-0.304,-,-0.318
01-01-18,19:00,-0.29,-,-0.313
01-01-18,20:00,-0.247,-,-0.27
01-01-18,21:00,-0.182,-,-0.196
01-01-18,22:00,-0.103,-,-0.146
01-01-18,23:00,-0.021,-,-0.064
02-01-18,00:00,0.056,-,-0.019
02-01-18,01:00,0.12,-,0.074
02-01-18,02:00,0.169,-,0.128
02-01-18,03:00,0.202,-,0.18
02-01-18,04:00,0.222,-,0.244
02-01-18,05:00,0.233,-,0.214
02-01-18,06:00,0.238,-,0.216
02-01-18,07:00,0.239,-,0.233
02-01-18,08:00,0.236,-,0.21
02-01-18,09:00,0.226,-,0.23
02-01-18,10:00,0.205,-,0.228
02-01-18,11:00,0.17,-,0.202
02-01-18,12:00,0.118,-,0.182
02-01-18,13:00,0.051,-,0.158
02-01-18,14:00,-0.029,-,0.082
02-01-18,15:00,-0.114,-,0.029
02-01-18,16:00,-0.193,-,-0.042
02-01-18,17:00,-0.258,-,-0.085
02-01-18,18:00,-0.3,-,-0.111
02-01-18,19:00,-0.312,-,-0.135
02-01-18,20:00,-0.294,-,-0.119
02-01-18,21:00,-0.247,-,-0.046
02-01-18,22:00,-0.18,-,0.053
02-01-18,23:00,-0.101,-,0.093
03-01-18,00:00,-0.019,-,0.111
03-01-18,01:00,0.055,-,0.186
03-01-18,02:00,0.118,-,0.244
03-01-18,03:00,0.165,-,0.28
03-01-18,04:00,0.198,-,0.311
03-01-18,05:00,0.218,-,0.328
03-01-18,06:00,0.229,-,0.306
03-01-18,07:00,0.235,-,0.294
03-01-18,08:00,0.237,-,0.247
03-01-18,09:00,0.233,-,0.217
03-01-18,10:00,0.222,-,0.185
03-01-18,11:00,0.199,-,0.138
03-01-18,12:00,0.162,-,0.099
03-01-18,13:00,0.108,-,0.085
03-01-18,14:00,0.04,-,-0.04
03-01-18,15:00,-0.038,-,-0.075
03-01-18,16:00,-0.12,-,-0.187
03-01-18,17:00,-0.195,-,-0.231
03-01-18,18:00,-0.255,-,-0.322
03-01-18,19:00,-0.291,-,-0.353
03-01-18,20:00,-0.299,-,-0.319
03-01-18,21:00,-0.278,-,-0.287
03-01-18,22:00,-0.232,-,-0.198
03-01-18,23:00,-0.166,-,-0.152
04-01-18,00:00,-0.091,-,-0.083
04-01-18,01:00,-0.015,-,-0.033
04-01-18,02:00,0.055,-,0.016
04-01-18,03:00,0.112,-,0.058
04-01-18,04:00,0.155,-,0.075
04-01-18,05:00,0.184,-,0.119
04-01-18,06:00,0.202,-,0.132
04-01-18,07:00,0.212,-,0.123
04-01-18,08:00,0.217,-,0.157
04-01-18,09:00,0.217,-,0.14
04-01-18,10:00,0.213,-,0.133
04-01-18,11:00,0.2,-,0.111
04-01-18,12:00,0.178,-,0.117
