date,time,water_level,air_temp,water_temp,wind_speed,wind_gust,wind_dir
1/1/2020,0:00,0.064,13.4,14.7,1.5,1.7,169
1/1/2020,1:00,0.082,13.8,15.2,1.2,1.6,203
1/1/2020,2:00,0.172,13.5,15.1,1.2,1.8,234
1/1/2020,3:00,0.183,13.1,15.2,1.6,2.2,235
1/1/2020,4:00,0.226,13,15.1,1.4,1.8,237
1/1/2020,5:00,0.288,12.9,15.1,1.4,1.9,251
1/1/2020,6:00,0.32,12.5,15.2,0.5,1.1,263
1/1/2020,7:00,0.326,12.6,15.2,1,1.6,264
1/1/2020,8:00,0.339,12.5,15.1,0.8,1.1,261
1/1/2020,9:00,0.354,12.6,15.1,1.4,1.8,277
1/1/2020,10:00,0.36,12.2,14.9,1.3,1.7,318
1/1/2020,11:00,0.325,12.9,14.8,0.9,1.4,27
1/1/2020,12:00,0.296,13.5,14.8,2.3,2.6,65
1/1/2020,13:00,0.29,13.3,14.7,4.1,4.5,64
1/1/2020,14:00,0.268,13,14.7,4.6,4.9,73
1/1/2020,15:00,0.252,12.9,14.7,5,6,86
1/1/2020,16:00,0.259,13.5,14.7,3.5,4.7,94
1/1/2020,17:00,0.229,14.3,14.6,3.8,5.3,86
1/1/2020,18:00,0.227,14.4,14.6,5.9,6.8,102
1/1/2020,19:00,0.219,14.6,14.6,5.1,5.6,116
1/1/2020,20:00,0.197,14.9,14.6,5.6,6.2,125
1/1/2020,21:00,0.196,15.4,14.7,3.9,4.9,122
1/1/2020,22:00,0.14,15.2,14.7,2.9,3.2,55
1/1/2020,23:00,0.21,15.2,14.6,5.2,6.1,104
1/2/2020,0:00,0.263,15.1,14.7,3.7,4.7,99
1/2/2020,1:00,0.3,15,14.7,3.9,4.2,105
1/2/2020,2:00,0.345,15.6,14.9,6,6.7,122
1/2/2020,3:00,0.39,15.4,14.9,4.1,5.9,107
1/2/2020,4:00,0.451,15.3,14.9,1.9,2.3,57
1/2/2020,5:00,0.49,15.3,14.9,3,3.3,105
1/2/2020,6:00,0.532,15.3,14.9,2.7,4,81
1/2/2020,7:00,0.567,15,14.9,1.9,2.1,52
1/2/2020,8:00,0.579,15.3,14.9,3,3.6,78
1/2/2020,9:00,0.609,15,14.9,2.9,3.7,66
1/2/2020,10:00,0.618,15,14.9,1.5,1.7,68
1/2/2020,11:00,0.636,14.9,14.9,3.3,3.9,88
1/2/2020,12:00,0.582,14.8,14.9,3,3.8,97
1/2/2020,13:00,0.563,15.2,14.9,3.6,4,125
1/2/2020,14:00,0.546,15.1,14.9,0.6,1.2,152
1/2/2020,15:00,0.54,15.4,14.8,1.1,1.2,128
1/2/2020,16:00,0.518,15.5,14.7,0.3,0.6,50
1/2/2020,17:00,0.514,16.5,14.6,2.6,3.1,161
1/2/2020,18:00,0.508,17.6,14.5,1.4,1.9,153
1/2/2020,19:00,0.483,18,14.5,3.8,4,183
1/2/2020,20:00,0.467,18.2,14.5,2.5,3.4,217
1/2/2020,21:00,0.444,18.5,14.5,2,3.1,240
1/2/2020,22:00,0.444,18.7,14.5,3,3.8,226
1/2/2020,23:00,0.392,18.6,14.5,0.3,1.6,217
1/3/2020,0:00,0.384,16.4,14.5,0.7,2.8,166
1/3/2020,1:00,0.408,17.7,14.6,1.8,2.6,224
1/3/2020,2:00,0.413,17.6,14.8,6.2,7.1,189
1/3/2020,3:00,0.408,16.9,14.8,5.9,6.4,173
1/3/2020,4:00,0.437,16,14.8,2.3,3,180
1/3/2020,5:00,0.461,16.3,14.9,0.8,1.2,245
1/3/2020,6:00,0.503,15.5,14.8,1.5,1.6,283
1/3/2020,7:00,0.531,15.3,14.8,1.2,1.4,167
1/3/2020,8:00,0.488,14.9,14.8,0.1,0.6,122
1/3/2020,9:00,0.492,15.3,14.8,1.4,1.6,122
1/3/2020,10:00,0.499,15,14.8,1.9,1.9,63
1/3/2020,11:00,0.446,15.3,14.8,0.9,1.6,236
1/3/2020,12:00,0.418,15,14.8,1.1,2,260
