"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2018/08/01","00:00","0.223","-","0.277"
"2018/08/01","00:06","0.222","-","0.33"
"2018/08/01","00:12","0.222","-","0.332"
"2018/08/01","00:18","0.221","-","0.316"
"2018/08/01","00:24","0.22","-","0.312"
"2018/08/01","00:30","0.219","-","0.296"
"2018/08/01","00:36","0.219","-","0.296"
"2018/08/01","00:42","0.218","-","0.292"
"2018/08/01","00:48","0.217","-","0.309"
"2018/08/01","00:54","0.216","-","0.295"
"2018/08/01","01:00","0.215","-","0.279"
"2018/08/01","01:06","0.214","-","0.291"
"2018/08/01","01:12","0.213","-","0.297"
"2018/08/01","01:18","0.212","-","0.307"
"2018/08/01","01:24","0.21","-","0.273"
"2018/08/01","01:30","0.209","-","0.299"
"2018/08/01","01:36","0.208","-","0.328"
"2018/08/01","01:42","0.207","-","0.31"
"2018/08/01","01:48","0.205","-","0.301"
"2018/08/01","01:54","0.204","-","0.297"
"2018/08/01","02:00","0.202","-","0.249"
"2018/08/01","02:06","0.201","-","0.336"
"2018/08/01","02:12","0.199","-","0.362"
"2018/08/01","02:18","0.198","-","0.33"
"2018/08/01","02:24","0.196","-","0.331"
"2018/08/01","02:30","0.194","-","0.323"
"2018/08/01","02:36","0.192","-","0.321"
"2018/08/01","02:42","0.191","-","0.336"
"2018/08/01","02:48","0.189","-","0.328"
"2018/08/01","02:54","0.187","-","0.333"
"2018/08/01","03:00","0.185","-","0.312"
"2018/08/01","03:06","0.183","-","0.285"
"2018/08/01","03:12","0.181","-","0.29"
"2018/08/01","03:18","0.178","-","0.316"
"2018/08/01","03:24","0.176","-","0.284"
"2018/08/01","03:30","0.174","-","0.315"
"2018/08/01","03:36","0.172","-","0.315"
"2018/08/01","03:42","0.169","-","0.296"
"2018/08/01","03:48","0.167","-","0.274"
"2018/08/01","03:54","0.164","-","0.292"
"2018/08/01","04:00","0.162","-","0.286"
"2018/08/01","04:06","0.159","-","0.282"
"2018/08/01","04:12","0.157","-","0.273"
"2018/08/01","04:18","0.154","-","0.273"
"2018/08/01","04:24","0.152","-","0.268"
"2018/08/01","04:30","0.149","-","0.277"
"2018/08/01","04:36","0.146","-","0.254"
"2018/08/01","04:42","0.143","-","0.26"
"2018/08/01","04:48","0.141","-","0.203"
"2018/08/01","04:54","0.138","-","0.234"
"2018/08/01","05:00","0.135","-","0.243"
"2018/08/01","05:06","0.133","-","0.238"
"2018/08/01","05:12","0.13","-","0.223"
"2018/08/01","05:18","0.127","-","0.226"
"2018/08/01","05:24","0.124","-","0.239"
"2018/08/01","05:30","0.122","-","0.213"
