"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/06/01","00:00","0.791","-","1.89"
"2020/06/01","00:06","0.782","-","2.06"
"2020/06/01","00:12","0.773","-","1.99"
"2020/06/01","00:18","0.763","-","1.83"
"2020/06/01","00:24","0.754","-","1.81"
"2020/06/01","00:30","0.744","-","1.79"
"2020/06/01","00:36","0.734","-","1.82"
"2020/06/01","00:42","0.725","-","1.83"
"2020/06/01","00:48","0.715","-","1.89"
"2020/06/01","00:54","0.706","-","1.83"
"2020/06/01","01:00","0.696","-","1.65"
"2020/06/01","01:06","0.687","-","1.88"
"2020/06/01","01:12","0.678","-","1.85"
"2020/06/01","01:18","0.669","-","1.82"
"2020/06/01","01:24","0.66","-","1.81"
"2020/06/01","01:30","0.651","-","1.71"
"2020/06/01","01:36","0.642","-","1.79"
"2020/06/01","01:42","0.634","-","1.86"
"2020/06/01","01:48","0.625","-","1.8"
"2020/06/01","01:54","0.617","-","1.75"
"2020/06/01","02:00","0.609","-","1.8"
"2020/06/01","02:06","0.602","-","1.75"
"2020/06/01","02:12","0.594","-","1.65"
"2020/06/01","02:18","0.587","-","1.72"
"2020/06/01","02:24","0.58","-","1.64"
"2020/06/01","02:30","0.574","-","1.66"
"2020/06/01","02:36","0.568","-","1.65"
"2020/06/01","02:42","0.562","-","1.63"
"2020/06/01","02:48","0.556","-","1.61"
"2020/06/01","02:54","0.551","-","1.67"
"2020/06/01","03:00","0.546","-","1.61"
"2020/06/01","03:06","0.542","-","1.59"
"2020/06/01","03:12","0.537","-","1.61"
"2020/06/01","03:18","0.534","-","1.64"
"2020/06/01","03:24","0.53","-","1.66"
"2020/06/01","03:30","0.527","-","1.65"
"2020/06/01","03:36","0.524","-","1.62"
"2020/06/01","03:42","0.522","-","1.64"
"2020/06/01","03:48","0.52","-","1.63"
"2020/06/01","03:54","0.518","-","1.64"
"2020/06/01","04:00","0.517","-","1.64"
"2020/06/01","04:06","0.516","-","1.62"
"2020/06/01","04:12","0.515","-","1.61"
"2020/06/01","04:18","0.515","-","1.6"
"2020/06/01","04:24","0.515","-","1.65"
"2020/06/01","04:30","0.516","-","1.62"
"2020/06/01","04:36","0.516","-","1.61"
"2020/06/01","04:42","0.517","-","1.62"
"2020/06/01","04:48","0.519","-","1.59"
"2020/06/01","04:54","0.52","-","1.64"
"2020/06/01","05:00","0.522","-","1.64"
"2020/06/01","05:06","0.525","-","1.63"
"2020/06/01","05:12","0.527","-","1.67"
"2020/06/01","05:18","0.53","-","1.62"
"2020/06/01","05:24","0.533","-","1.64"
"2020/06/01","05:30","0.536","-","1.66"
"2020/06/01","05:36","0.54","-","1.72"
"2020/06/01","05:42","0.544","-","1.6"
"2020/06/01","05:48","0.548","-","1.65"
"2020/06/01","05:54","0.552","-","1.67"
"2020/06/01","06:00","0.556","-","1.65"
"2020/06/01","06:06","0.561","-","1.67"
"2020/06/01","06:12","0.565","-","1.64"
"2020/06/01","06:18","0.57","-","1.66"
"2020/06/01","06:24","0.575","-","1.66"
"2020/06/01","06:30","0.58","-","1.6"
