"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/04/01","00:00","0.259","0.37","-"
"2020/04/01","00:06","0.26","0.362","-"
"2020/04/01","00:12","0.261","0.36","-"
"2020/04/01","00:18","0.262","0.354","-"
"2020/04/01","00:24","0.263","0.362","-"
"2020/04/01","00:30","0.263","0.367","-"
"2020/04/01","00:36","0.264","0.367","-"
"2020/04/01","00:42","0.264","0.365","-"
"2020/04/01","00:48","0.265","0.366","-"
"2020/04/01","00:54","0.265","0.367","-"
"2020/04/01","01:00","0.266","0.368","-"
"2020/04/01","01:06","0.266","0.369","-"
"2020/04/01","01:12","0.266","0.365","-"
"2020/04/01","01:18","0.267","0.37","-"
"2020/04/01","01:24","0.267","0.368","-"
"2020/04/01","01:30","0.267","0.367","-"
"2020/04/01","01:36","0.267","0.368","-"
"2020/04/01","01:42","0.267","0.365","-"
"2020/04/01","01:48","0.267","0.369","-"
"2020/04/01","01:54","0.267","0.368","-"
"2020/04/01","02:00","0.267","0.376","-"
"2020/04/01","02:06","0.266","0.369","-"
"2020/04/01","02:12","0.266","0.369","-"
"2020/04/01","02:18","0.266","0.363","-"
"2020/04/01","02:24","0.265","0.366","-"
"2020/04/01","02:30","0.265","0.365","-"
"2020/04/01","02:36","0.264","0.364","-"
"2020/04/01","02:42","0.264","0.367","-"
"2020/04/01","02:48","0.263","0.368","-"
"2020/04/01","02:54","0.262","0.37","-"
"2020/04/01","03:00","0.261","0.367","-"
"2020/04/01","03:06","0.26","0.366","-"
"2020/04/01","03:12","0.259","0.364","-"
"2020/04/01","03:18","0.258","0.364","-"
"2020/04/01","03:24","0.257","0.362","-"
"2020/04/01","03:30","0.256","0.36","-"
"2020/04/01","03:36","0.255","0.36","-"
"2020/04/01","03:42","0.253","0.36","-"
"2020/04/01","03:48","0.252","0.36","-"
"2020/04/01","03:54","0.25","0.355","-"
"2020/04/01","04:00","0.249","0.353","-"
"2020/04/01","04:06","0.247","0.353","-"
"2020/04/01","04:12","0.245","0.353","-"
"2020/04/01","04:18","0.243","0.35","-"
"2020/04/01","04:24","0.241","0.349","-"
"2020/04/01","04:30","0.239","0.347","-"
"2020/04/01","04:36","0.237","0.342","-"
"2020/04/01","04:42","0.235","0.341","-"
"2020/04/01","04:48","0.233","0.344","-"
"2020/04/01","04:54","0.231","0.342","-"
"2020/04/01","05:00","0.229","0.341","-"
"2020/04/01","05:06","0.226","0.339","-"
"2020/04/01","05:12","0.224","0.34","-"
"2020/04/01","05:18","0.221","0.341","-"
"2020/04/01","05:24","0.219","0.339","-"
"2020/04/01","05:30","0.216","0.336","-"
"2020/04/01","05:36","0.214","0.332","-"
"2020/04/01","05:42","0.211","0.331","-"
"2020/04/01","05:48","0.208","0.327","-"
"2020/04/01","05:54","0.206","-","-"
"2020/04/01","06:00","0.203","0.326","-"
"2020/04/01","06:06","0.2","0.326","-"
"2020/04/01","06:12","0.197","0.326","-"
"2020/04/01","06:18","0.194","0.331","-"
"2020/04/01","06:24","0.191","0.327","-"
"2020/04/01","06:30","0.188","0.328","-"
"2020/04/01","06:36","0.185","0.322","-"
"2020/04/01","06:42","0.182","0.316","-"
"2020/04/01","06:48","0.179","0.315","-"
"2020/04/01","06:54","0.176","0.315","-"
"2020/04/01","07:00","0.173","0.317","-"
"2020/04/01","07:06","0.169","0.316","-"
"2020/04/01","07:12","0.166","0.318","-"
"2020/04/01","07:18","0.163","0.318","-"
"2020/04/01","07:24","0.16","0.316","-"
"2020/04/01","07:30","0.157","0.312","-"
"2020/04/01","07:36","0.153","0.307","-"
"2020/04/01","07:42","0.15","0.309","-"
"2020/04/01","07:48","0.147","0.307","-"
"2020/04/01","07:54","0.144","0.307","-"
"2020/04/01","08:00","0.14","0.307","-"
"2020/04/01","08:06","0.137","0.307","-"
"2020/04/01","08:12","0.134","0.306","-"
"2020/04/01","08:18","0.131","0.302","-"
"2020/04/01","08:24","0.127","0.301","-"
"2020/04/01","08:30","0.124","0.303","-"
"2020/04/01","08:36","0.121","0.301","-"
"2020/04/01","08:42","0.118","0.302","-"
"2020/04/01","08:48","0.114","0.298","-"
"2020/04/01","08:54","0.111","0.295","-"
"2020/04/01","09:00","0.108","0.292","-"
"2020/04/01","09:06","0.105","0.288","-"
"2020/04/01","09:12","0.102","0.284","-"
"2020/04/01","09:18","0.098","0.279","-"
"2020/04/01","09:24","0.095","0.275","-"
"2020/04/01","09:30","0.092","0.271","-"
