"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/08/01","00:00","0.134","0.244","-"
"2020/08/01","00:06","0.131","0.241","-"
"2020/08/01","00:12","0.127","0.237","-"
"2020/08/01","00:18","0.124","0.235","-"
"2020/08/01","00:24","0.121","0.233","-"
"2020/08/01","00:30","0.118","0.232","-"
"2020/08/01","00:36","0.115","0.228","-"
"2020/08/01","00:42","0.112","0.221","-"
"2020/08/01","00:48","0.108","0.218","-"
"2020/08/01","00:54","0.105","0.216","-"
"2020/08/01","01:00","0.102","0.215","-"
"2020/08/01","01:06","0.099","0.213","-"
"2020/08/01","01:12","0.096","0.21","-"
"2020/08/01","01:18","0.092","0.206","-"
"2020/08/01","01:24","0.089","0.201","-"
"2020/08/01","01:30","0.086","0.195","-"
"2020/08/01","01:36","0.083","0.192","-"
"2020/08/01","01:42","0.079","0.184","-"
"2020/08/01","01:48","0.076","0.186","-"
"2020/08/01","01:54","0.073","0.178","-"
"2020/08/01","02:00","0.069","0.172","-"
"2020/08/01","02:06","0.066","0.17","-"
"2020/08/01","02:12","0.062","0.167","-"
"2020/08/01","02:18","0.059","0.166","-"
"2020/08/01","02:24","0.055","0.163","-"
"2020/08/01","02:30","0.052","0.159","-"
"2020/08/01","02:36","0.049","0.153","-"
"2020/08/01","02:42","0.045","0.151","-"
"2020/08/01","02:48","0.042","0.149","-"
"2020/08/01","02:54","0.038","0.147","-"
"2020/08/01","03:00","0.035","0.146","-"
"2020/08/01","03:06","0.031","0.144","-"
"2020/08/01","03:12","0.028","0.144","-"
"2020/08/01","03:18","0.024","0.141","-"
"2020/08/01","03:24","0.021","0.137","-"
"2020/08/01","03:30","0.017","0.133","-"
"2020/08/01","03:36","0.014","0.129","-"
"2020/08/01","03:42","0.01","0.124","-"
"2020/08/01","03:48","0.007","0.121","-"
"2020/08/01","03:54","0.004","0.116","-"
"2020/08/01","04:00","0","0.112","-"
"2020/08/01","04:06","-0.003","0.114","-"
"2020/08/01","04:12","-0.006","0.112","-"
"2020/08/01","04:18","-0.009","0.108","-"
"2020/08/01","04:24","-0.012","0.103","-"
"2020/08/01","04:30","-0.015","0.099","-"
"2020/08/01","04:36","-0.018","0.101","-"
"2020/08/01","04:42","-0.021","0.101","-"
"2020/08/01","04:48","-0.024","0.097","-"
"2020/08/01","04:54","-0.026","0.094","-"
"2020/08/01","05:00","-0.029","0.091","-"
"2020/08/01","05:06","-0.031","0.085","-"
"2020/08/01","05:12","-0.034","0.083","-"
"2020/08/01","05:18","-0.036","0.081","-"
"2020/08/01","05:24","-0.038","0.078","-"
"2020/08/01","05:30","-0.04","0.075","-"
"2020/08/01","05:36","-0.042","0.07","-"
"2020/08/01","05:42","-0.043","0.067","-"
"2020/08/01","05:48","-0.045","0.06","-"
"2020/08/01","05:54","-0.046","0.056","-"
"2020/08/01","06:00","-0.047","0.057","-"
"2020/08/01","06:06","-0.048","0.055","-"
"2020/08/01","06:12","-0.049","0.051","-"
"2020/08/01","06:18","-0.05","0.044","-"
"2020/08/01","06:24","-0.05","0.04","-"
"2020/08/01","06:30","-0.051","0.037","-"
"2020/08/01","06:36","-0.051","0.035","-"
"2020/08/01","06:42","-0.051","0.033","-"
"2020/08/01","06:48","-0.051","0.032","-"
"2020/08/01","06:54","-0.051","0.03","-"
"2020/08/01","07:00","-0.051","0.027","-"
"2020/08/01","07:06","-0.05","0.024","-"
"2020/08/01","07:12","-0.049","0.022","-"
"2020/08/01","07:18","-0.049","0.02","-"
"2020/08/01","07:24","-0.048","0.022","-"
"2020/08/01","07:30","-0.046","0.018","-"
"2020/08/01","07:36","-0.045","0.016","-"
"2020/08/01","07:42","-0.044","0.013","-"
"2020/08/01","07:48","-0.042","0.011","-"
"2020/08/01","07:54","-0.041","0.012","-"
"2020/08/01","08:00","-0.039","0.01","-"
"2020/08/01","08:06","-0.037","0.01","-"
"2020/08/01","08:12","-0.035","0.01","-"
"2020/08/01","08:18","-0.033","0.01","-"
"2020/08/01","08:24","-0.031","0.009","-"
"2020/08/01","08:30","-0.029","0.009","-"
"2020/08/01","08:36","-0.027","0.01","-"
"2020/08/01","08:42","-0.024","0.011","-"
"2020/08/01","08:48","-0.022","0.012","-"
"2020/08/01","08:54","-0.02","0.014","-"
"2020/08/01","09:00","-0.017","0.014","-"
"2020/08/01","09:06","-0.015","0.013","-"
"2020/08/01","09:12","-0.012","0.013","-"
"2020/08/01","09:18","-0.009","0.013","-"
"2020/08/01","09:24","-0.007","0.017","-"
"2020/08/01","09:30","-0.004","0.022","-"
"2020/08/01","09:36","-0.001","0.027","-"
"2020/08/01","09:42","0.001","0.032","-"
"2020/08/01","09:48","0.004","0.035","-"
"2020/08/01","09:54","0.007","0.041","-"
