"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/12/01","00:00","0.053","-0.01","-"
"2020/12/01","00:06","0.057","-0.008","-"
"2020/12/01","00:12","0.06","-0.007","-"
"2020/12/01","00:18","0.063","-0.005","-"
"2020/12/01","00:24","0.066","-0.003","-"
"2020/12/01","00:30","0.069","0","-"
"2020/12/01","00:36","0.072","0.003","-"
"2020/12/01","00:42","0.075","0.006","-"
"2020/12/01","00:48","0.078","0.01","-"
"2020/12/01","00:54","0.08","0.013","-"
"2020/12/01","01:00","0.083","0.015","-"
"2020/12/01","01:06","0.086","0.021","-"
"2020/12/01","01:12","0.089","0.022","-"
"2020/12/01","01:18","0.092","0.028","-"
"2020/12/01","01:24","0.095","0.031","-"
"2020/12/01","01:30","0.097","0.033","-"
"2020/12/01","01:36","0.1","0.038","-"
"2020/12/01","01:42","0.103","0.039","-"
"2020/12/01","01:48","0.105","0.045","-"
"2020/12/01","01:54","0.108","0.05","-"
"2020/12/01","02:00","0.111","0.055","-"
"2020/12/01","02:06","0.113","0.058","-"
"2020/12/01","02:12","0.115","0.061","-"
"2020/12/01","02:18","0.118","0.062","-"
"2020/12/01","02:24","0.12","0.068","-"
"2020/12/01","02:30","0.122","0.07","-"
"2020/12/01","02:36","0.125","0.076","-"
"2020/12/01","02:42","0.127","0.078","-"
"2020/12/01","02:48","0.129","0.078","-"
"2020/12/01","02:54","0.131","0.083","-"
"2020/12/01","03:00","0.133","0.084","-"
"2020/12/01","03:06","0.135","0.089","-"
"2020/12/01","03:12","0.137","0.091","-"
"2020/12/01","03:18","0.139","0.094","-"
"2020/12/01","03:24","0.141","0.098","-"
"2020/12/01","03:30","0.143","0.1","-"
"2020/12/01","03:36","0.144","0.105","-"
"2020/12/01","03:42","0.146","0.103","-"
"2020/12/01","03:48","0.148","0.108","-"
"2020/12/01","03:54","0.149","0.106","-"
"2020/12/01","04:00","0.151","0.11","-"
"2020/12/01","04:06","0.153","0.111","-"
"2020/12/01","04:12","0.154","0.113","-"
"2020/12/01","04:18","0.156","0.115","-"
"2020/12/01","04:24","0.157","0.116","-"
"2020/12/01","04:30","0.159","0.119","-"
"2020/12/01","04:36","0.16","0.12","-"
"2020/12/01","04:42","0.162","0.125","-"
"2020/12/01","04:48","0.163","0.126","-"
"2020/12/01","04:54","0.165","0.128","-"
"2020/12/01","05:00","0.166","0.13","-"
"2020/12/01","05:06","0.167","0.132","-"
"2020/12/01","05:12","0.169","0.132","-"
"2020/12/01","05:18","0.17","0.134","-"
"2020/12/01","05:24","0.171","0.135","-"
"2020/12/01","05:30","0.173","0.137","-"
"2020/12/01","05:36","0.174","0.139","-"
"2020/12/01","05:42","0.175","0.14","-"
"2020/12/01","05:48","0.177","0.142","-"
"2020/12/01","05:54","0.178","0.141","-"
"2020/12/01","06:00","0.179","0.142","-"
"2020/12/01","06:06","0.18","0.142","-"
"2020/12/01","06:12","0.182","0.144","-"
"2020/12/01","06:18","0.183","0.145","-"
"2020/12/01","06:24","0.184","0.146","-"
"2020/12/01","06:30","0.185","0.147","-"
"2020/12/01","06:36","0.186","0.149","-"
"2020/12/01","06:42","0.187","0.151","-"
"2020/12/01","06:48","0.189","0.15","-"
"2020/12/01","06:54","0.19","0.152","-"
"2020/12/01","07:00","0.191","0.153","-"
"2020/12/01","07:06","0.192","0.153","-"
"2020/12/01","07:12","0.193","0.156","-"
"2020/12/01","07:18","0.193","0.154","-"
"2020/12/01","07:24","0.194","0.158","-"
"2020/12/01","07:30","0.195","0.154","-"
"2020/12/01","07:36","0.196","0.158","-"
"2020/12/01","07:42","0.197","0.156","-"
