"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/12/01","00:00","0.175","-0.03","-"
"2020/12/01","00:06","0.185","-0.03","-"
"2020/12/01","00:12","0.195","-0.02","-"
"2020/12/01","00:18","0.205","-0.02","-"
"2020/12/01","00:24","0.215","-0.01","-"
"2020/12/01","00:30","0.225","0","-"
"2020/12/01","00:36","0.235","0.01","-"
"2020/12/01","00:42","0.245","0.02","-"
"2020/12/01","00:48","0.254","0.03","-"
"2020/12/01","00:54","0.264","0.04","-"
"2020/12/01","01:00","0.274","0.05","-"
"2020/12/01","01:06","0.283","0.07","-"
"2020/12/01","01:12","0.292","0.07","-"
"2020/12/01","01:18","0.302","0.09","-"
"2020/12/01","01:24","0.311","0.1","-"
"2020/12/01","01:30","0.32","0.11","-"
"2020/12/01","01:36","0.329","0.13","-"
"2020/12/01","01:42","0.337","0.13","-"
"2020/12/01","01:48","0.346","0.15","-"
"2020/12/01","01:54","0.354","0.16","-"
"2020/12/01","02:00","0.363","0.18","-"
"2020/12/01","02:06","0.371","0.19","-"
"2020/12/01","02:12","0.379","0.2","-"
"2020/12/01","02:18","0.387","0.2","-"
"2020/12/01","02:24","0.394","0.22","-"
"2020/12/01","02:30","0.402","0.23","-"
"2020/12/01","02:36","0.409","0.25","-"
"2020/12/01","02:42","0.416","0.26","-"
"2020/12/01","02:48","0.423","0.26","-"
"2020/12/01","02:54","0.43","0.27","-"
"2020/12/01","03:00","0.437","0.28","-"
"2020/12/01","03:06","0.443","0.29","-"
"2020/12/01","03:12","0.449","0.3","-"
"2020/12/01","03:18","0.456","0.31","-"
"2020/12/01","03:24","0.462","0.32","-"
"2020/12/01","03:30","0.468","0.33","-"
"2020/12/01","03:36","0.474","0.34","-"
"2020/12/01","03:42","0.479","0.34","-"
"2020/12/01","03:48","0.485","0.35","-"
"2020/12/01","03:54","0.49","0.35","-"
"2020/12/01","04:00","0.496","0.36","-"
"2020/12/01","04:06","0.501","0.36","-"
"2020/12/01","04:12","0.506","0.37","-"
"2020/12/01","04:18","0.511","0.38","-"
"2020/12/01","04:24","0.516","0.38","-"
"2020/12/01","04:30","0.521","0.39","-"
"2020/12/01","04:36","0.526","0.39","-"
