"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/02/01","00:00","-0.08","0.195","-"
"2020/02/01","00:06","-0.079","0.196","-"
"2020/02/01","00:12","-0.079","0.199","-"
"2020/02/01","00:18","-0.078","0.196","-"
"2020/02/01","00:24","-0.077","0.192","-"
"2020/02/01","00:30","-0.076","0.194","-"
"2020/02/01","00:36","-0.075","0.194","-"
"2020/02/01","00:42","-0.075","0.197","-"
"2020/02/01","00:48","-0.074","0.194","-"
"2020/02/01","00:54","-0.073","0.193","-"
"2020/02/01","01:00","-0.072","0.195","-"
"2020/02/01","01:06","-0.071","0.2","-"
"2020/02/01","01:12","-0.07","0.2","-"
"2020/02/01","01:18","-0.069","0.203","-"
"2020/02/01","01:24","-0.068","0.201","-"
"2020/02/01","01:30","-0.067","0.204","-"
"2020/02/01","01:36","-0.067","0.207","-"
"2020/02/01","01:42","-0.066","0.203","-"
"2020/02/01","01:48","-0.065","0.208","-"
"2020/02/01","01:54","-0.064","0.2","-"
"2020/02/01","02:00","-0.063","0.209","-"
"2020/02/01","02:06","-0.062","0.208","-"
"2020/02/01","02:12","-0.061","0.212","-"
"2020/02/01","02:18","-0.061","0.218","-"
"2020/02/01","02:24","-0.06","0.213","-"
"2020/02/01","02:30","-0.059","0.216","-"
"2020/02/01","02:36","-0.058","0.22","-"
"2020/02/01","02:42","-0.058","0.219","-"
"2020/02/01","02:48","-0.057","0.219","-"
"2020/02/01","02:54","-0.056","0.22","-"
"2020/02/01","03:00","-0.056","0.224","-"
"2020/02/01","03:06","-0.055","0.223","-"
"2020/02/01","03:12","-0.054","0.224","-"
"2020/02/01","03:18","-0.054","0.222","-"
"2020/02/01","03:24","-0.053","0.225","-"
"2020/02/01","03:30","-0.053","0.227","-"
"2020/02/01","03:36","-0.052","0.231","-"
"2020/02/01","03:42","-0.052","0.228","-"
"2020/02/01","03:48","-0.052","0.231","-"
"2020/02/01","03:54","-0.051","0.236","-"
"2020/02/01","04:00","-0.051","0.233","-"
"2020/02/01","04:06","-0.051","0.234","-"
"2020/02/01","04:12","-0.05","0.23","-"
"2020/02/01","04:18","-0.05","0.231","-"
"2020/02/01","04:24","-0.05","0.235","-"
"2020/02/01","04:30","-0.05","0.237","-"
"2020/02/01","04:36","-0.05","0.238","-"
"2020/02/01","04:42","-0.05","0.239","-"
"2020/02/01","04:48","-0.049","0.236","-"
"2020/02/01","04:54","-0.049","0.238","-"
"2020/02/01","05:00","-0.049","0.239","-"
"2020/02/01","05:06","-0.049","0.234","-"
"2020/02/01","05:12","-0.05","0.232","-"
"2020/02/01","05:18","-0.05","0.235","-"
"2020/02/01","05:24","-0.05","0.234","-"
"2020/02/01","05:30","-0.05","0.237","-"
"2020/02/01","05:36","-0.05","0.23","-"
"2020/02/01","05:42","-0.05","0.229","-"
"2020/02/01","05:48","-0.05","0.226","-"
"2020/02/01","05:54","-0.051","0.224","-"
"2020/02/01","06:00","-0.051","0.22","-"
"2020/02/01","06:06","-0.051","0.216","-"
"2020/02/01","06:12","-0.052","0.213","-"
"2020/02/01","06:18","-0.052","0.211","-"
"2020/02/01","06:24","-0.053","0.209","-"
"2020/02/01","06:30","-0.053","0.207","-"
"2020/02/01","06:36","-0.054","0.206","-"
"2020/02/01","06:42","-0.054","0.203","-"
"2020/02/01","06:48","-0.055","0.2","-"
"2020/02/01","06:54","-0.056","0.195","-"
"2020/02/01","07:00","-0.056","0.193","-"
"2020/02/01","07:06","-0.057","0.189","-"
"2020/02/01","07:12","-0.058","0.185","-"
"2020/02/01","07:18","-0.059","0.182","-"
"2020/02/01","07:24","-0.059","0.181","-"
"2020/02/01","07:30","-0.06","0.18","-"
"2020/02/01","07:36","-0.061","0.179","-"
"2020/02/01","07:42","-0.062","0.177","-"
"2020/02/01","07:48","-0.063","0.174","-"
"2020/02/01","07:54","-0.064","0.17","-"
"2020/02/01","08:00","-0.066","0.166","-"
"2020/02/01","08:06","-0.067","0.165","-"
"2020/02/01","08:12","-0.068","0.162","-"
"2020/02/01","08:18","-0.069","0.159","-"
"2020/02/01","08:24","-0.071","0.158","-"
"2020/02/01","08:30","-0.072","0.16","-"
"2020/02/01","08:36","-0.073","0.16","-"
"2020/02/01","08:42","-0.075","0.157","-"
"2020/02/01","08:48","-0.076","0.155","-"
"2020/02/01","08:54","-0.078","0.154","-"
"2020/02/01","09:00","-0.079","0.15","-"
"2020/02/01","09:06","-0.081","0.147","-"
"2020/02/01","09:12","-0.082","0.144","-"
"2020/02/01","09:18","-0.084","0.143","-"
"2020/02/01","09:24","-0.085","0.138","-"
"2020/02/01","09:30","-0.087","0.136","-"
"2020/02/01","09:36","-0.089","0.131","-"
"2020/02/01","09:42","-0.09","0.131","-"
"2020/02/01","09:48","-0.092","0.13","-"
"2020/02/01","09:54","-0.094","0.128","-"
"2020/02/01","10:00","-0.095","0.125","-"
"2020/02/01","10:06","-0.097","0.122","-"
"2020/02/01","10:12","-0.099","0.119","-"
"2020/02/01","10:18","-0.1","0.116","-"
"2020/02/01","10:24","-0.102","0.111","-"
"2020/02/01","10:30","-0.104","0.106","-"
"2020/02/01","10:36","-0.105","0.104","-"
"2020/02/01","10:42","-0.107","0.101","-"
"2020/02/01","10:48","-0.109","0.1","-"
"2020/02/01","10:54","-0.11","0.097","-"
"2020/02/01","11:00","-0.112","0.095","-"
"2020/02/01","11:06","-0.114","0.094","-"
"2020/02/01","11:12","-0.115","0.091","-"
"2020/02/01","11:18","-0.117","0.089","-"
"2020/02/01","11:24","-0.118","0.087","-"
"2020/02/01","11:30","-0.12","0.085","-"
"2020/02/01","11:36","-0.121","0.083","-"
"2020/02/01","11:42","-0.122","0.081","-"
"2020/02/01","11:48","-0.124","0.078","-"
"2020/02/01","11:54","-0.125","0.075","-"
"2020/02/01","12:00","-0.126","0.073","-"
"2020/02/01","12:06","-0.127","0.074","-"
"2020/02/01","12:12","-0.128","0.075","-"
"2020/02/01","12:18","-0.13","0.075","-"
"2020/02/01","12:24","-0.131","0.071","-"
"2020/02/01","12:30","-0.132","0.068","-"
"2020/02/01","12:36","-0.133","0.066","-"
"2020/02/01","12:42","-0.133","0.063","-"
"2020/02/01","12:48","-0.134","0.063","-"
"2020/02/01","12:54","-0.135","0.062","-"
"2020/02/01","13:00","-0.136","0.058","-"
"2020/02/01","13:06","-0.136","0.055","-"
"2020/02/01","13:12","-0.137","0.054","-"
"2020/02/01","13:18","-0.138","0.054","-"
"2020/02/01","13:24","-0.138","0.055","-"
"2020/02/01","13:30","-0.139","0.053","-"
"2020/02/01","13:36","-0.139","0.053","-"
"2020/02/01","13:42","-0.139","0.049","-"
"2020/02/01","13:48","-0.14","0.046","-"
"2020/02/01","13:54","-0.14","0.046","-"
"2020/02/01","14:00","-0.14","0.047","-"
"2020/02/01","14:06","-0.14","0.049","-"
"2020/02/01","14:12","-0.141","0.048","-"
"2020/02/01","14:18","-0.141","0.05","-"
"2020/02/01","14:24","-0.141","0.051","-"
"2020/02/01","14:30","-0.141","0.05","-"
"2020/02/01","14:36","-0.14","0.047","-"
"2020/02/01","14:42","-0.14","0.051","-"
"2020/02/01","14:48","-0.14","0.051","-"
"2020/02/01","14:54","-0.14","0.051","-"
"2020/02/01","15:00","-0.14","0.05","-"
"2020/02/01","15:06","-0.139","0.047","-"
"2020/02/01","15:12","-0.139","0.053","-"
"2020/02/01","15:18","-0.138","0.053","-"
"2020/02/01","15:24","-0.138","0.059","-"
"2020/02/01","15:30","-0.137","0.055","-"
"2020/02/01","15:36","-0.137","0.052","-"
"2020/02/01","15:42","-0.136","0.055","-"
"2020/02/01","15:48","-0.136","0.043","-"
"2020/02/01","15:54","-0.135","0.061","-"
"2020/02/01","16:00","-0.134","0.045","-"
"2020/02/01","16:06","-0.133","0.054","-"
"2020/02/01","16:12","-0.133","0.051","-"
"2020/02/01","16:18","-0.132","0.056","-"
"2020/02/01","16:24","-0.131","0.054","-"
"2020/02/01","16:30","-0.13","0.059","-"
"2020/02/01","16:36","-0.129","0.054","-"
"2020/02/01","16:42","-0.128","0.047","-"
"2020/02/01","16:48","-0.127","0.048","-"
"2020/02/01","16:54","-0.126","0.039","-"
"2020/02/01","17:00","-0.125","0.056","-"
"2020/02/01","17:06","-0.123","0.055","-"
"2020/02/01","17:12","-0.122","0.054","-"
"2020/02/01","17:18","-0.121","0.057","-"
"2020/02/01","17:24","-0.12","0.051","-"
"2020/02/01","17:30","-0.119","0.058","-"
"2020/02/01","17:36","-0.117","0.055","-"
"2020/02/01","17:42","-0.116","0.061","-"
"2020/02/01","17:48","-0.115","0.064","-"
"2020/02/01","17:54","-0.114","0.063","-"
"2020/02/01","18:00","-0.112","0.061","-"
"2020/02/01","18:06","-0.111","0.062","-"
"2020/02/01","18:12","-0.11","0.065","-"
"2020/02/01","18:18","-0.108","0.067","-"
"2020/02/01","18:24","-0.107","0.072","-"
"2020/02/01","18:30","-0.106","0.069","-"
"2020/02/01","18:36","-0.104","0.066","-"
"2020/02/01","18:42","-0.103","0.068","-"
"2020/02/01","18:48","-0.102","0.067","-"
"2020/02/01","18:54","-0.1","0.072","-"
"2020/02/01","19:00","-0.099","0.069","-"
"2020/02/01","19:06","-0.098","0.068","-"
"2020/02/01","19:12","-0.097","0.07","-"
"2020/02/01","19:18","-0.095","0.067","-"
"2020/02/01","19:24","-0.094","0.068","-"
"2020/02/01","19:30","-0.093","0.07","-"
"2020/02/01","19:36","-0.092","0.072","-"
"2020/02/01","19:42","-0.091","0.075","-"
"2020/02/01","19:48","-0.089","0.07","-"
"2020/02/01","19:54","-0.088","0.073","-"
"2020/02/01","20:00","-0.087","0.068","-"
"2020/02/01","20:06","-0.086","0.07","-"
"2020/02/01","20:12","-0.085","0.073","-"
"2020/02/01","20:18","-0.084","0.073","-"
"2020/02/01","20:24","-0.083","0.077","-"
"2020/02/01","20:30","-0.082","0.071","-"
"2020/02/01","20:36","-0.081","0.072","-"
"2020/02/01","20:42","-0.08","0.069","-"
"2020/02/01","20:48","-0.08","0.074","-"
"2020/02/01","20:54","-0.079","0.074","-"
"2020/02/01","21:00","-0.078","0.073","-"
"2020/02/01","21:06","-0.077","0.07","-"
"2020/02/01","21:12","-0.076","0.075","-"
"2020/02/01","21:18","-0.076","0.06","-"
"2020/02/01","21:24","-0.075","0.071","-"
"2020/02/01","21:30","-0.074","0.059","-"
"2020/02/01","21:36","-0.073","0.074","-"
"2020/02/01","21:42","-0.073","0.059","-"
"2020/02/01","21:48","-0.072","0.062","-"
"2020/02/01","21:54","-0.071","0.059","-"
"2020/02/01","22:00","-0.071","0.062","-"
"2020/02/01","22:06","-0.07","0.058","-"
"2020/02/01","22:12","-0.069","0.063","-"
"2020/02/01","22:18","-0.069","0.056","-"
"2020/02/01","22:24","-0.068","0.05","-"
"2020/02/01","22:30","-0.067","0.054","-"
"2020/02/01","22:36","-0.067","0.048","-"
"2020/02/01","22:42","-0.066","0.055","-"
"2020/02/01","22:48","-0.065","0.048","-"
"2020/02/01","22:54","-0.065","0.05","-"
"2020/02/01","23:00","-0.064","0.048","-"
"2020/02/01","23:06","-0.063","0.048","-"
"2020/02/01","23:12","-0.062","0.049","-"
"2020/02/01","23:18","-0.062","0.055","-"
"2020/02/01","23:24","-0.061","0.056","-"
"2020/02/01","23:30","-0.06","0.054","-"
"2020/02/01","23:36","-0.059","0.051","-"
"2020/02/01","23:42","-0.059","0.051","-"
"2020/02/01","23:48","-0.058","0.049","-"
"2020/02/01","23:54","-0.057","0.049","-"
"2020/02/02","00:00","-0.056","0.048","-"
"2020/02/02","00:06","-0.056","0.052","-"
"2020/02/02","00:12","-0.055","0.046","-"
"2020/02/02","00:18","-0.054","0.043","-"
"2020/02/02","00:24","-0.053","0.045","-"
"2020/02/02","00:30","-0.052","0.048","-"
"2020/02/02","00:36","-0.051","0.049","-"
"2020/02/02","00:42","-0.05","0.051","-"
"2020/02/02","00:48","-0.05","0.053","-"
"2020/02/02","00:54","-0.049","0.057","-"
"2020/02/02","01:00","-0.048","0.058","-"
"2020/02/02","01:06","-0.047","0.06","-"
"2020/02/02","01:12","-0.046","0.061","-"
"2020/02/02","01:18","-0.045","0.063","-"
"2020/02/02","01:24","-0.044","0.06","-"
"2020/02/02","01:30","-0.044","0.06","-"
"2020/02/02","01:36","-0.043","0.063","-"
"2020/02/02","01:42","-0.042","0.062","-"
"2020/02/02","01:48","-0.041","0.065","-"
"2020/02/02","01:54","-0.04","0.069","-"
"2020/02/02","02:00","-0.04","0.07","-"
"2020/02/02","02:06","-0.039","0.066","-"
"2020/02/02","02:12","-0.038","0.067","-"
"2020/02/02","02:18","-0.037","0.069","-"
"2020/02/02","02:24","-0.037","0.068","-"
"2020/02/02","02:30","-0.036","0.065","-"
"2020/02/02","02:36","-0.036","0.061","-"
"2020/02/02","02:42","-0.035","0.065","-"
"2020/02/02","02:48","-0.035","0.064","-"
"2020/02/02","02:54","-0.034","0.061","-"
"2020/02/02","03:00","-0.034","0.062","-"
