"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/01/01","00:00","-0.117","0.067","-"
"2020/01/01","00:06","-0.117","0.07","-"
"2020/01/01","00:12","-0.117","0.069","-"
"2020/01/01","00:18","-0.118","0.07","-"
"2020/01/01","00:24","-0.118","0.071","-"
"2020/01/01","00:30","-0.117","0.073","-"
"2020/01/01","00:36","-0.117","0.071","-"
"2020/01/01","00:42","-0.117","0.072","-"
"2020/01/01","00:48","-0.117","0.079","-"
"2020/01/01","00:54","-0.116","0.071","-"
"2020/01/01","01:00","-0.116","0.076","-"
"2020/01/01","01:06","-0.115","0.068","-"
"2020/01/01","01:12","-0.114","0.073","-"
"2020/01/01","01:18","-0.113","0.073","-"
"2020/01/01","01:24","-0.113","0.075","-"
"2020/01/01","01:30","-0.112","0.078","-"
"2020/01/01","01:36","-0.111","0.083","-"
"2020/01/01","01:42","-0.109","0.084","-"
"2020/01/01","01:48","-0.108","0.085","-"
"2020/01/01","01:54","-0.107","0.087","-"
"2020/01/01","02:00","-0.106","0.084","-"
"2020/01/01","02:06","-0.104","0.091","-"
"2020/01/01","02:12","-0.103","0.086","-"
"2020/01/01","02:18","-0.101","0.088","-"
"2020/01/01","02:24","-0.099","0.093","-"
"2020/01/01","02:30","-0.098","0.095","-"
"2020/01/01","02:36","-0.096","0.098","-"
"2020/01/01","02:42","-0.094","0.097","-"
"2020/01/01","02:48","-0.092","0.102","-"
"2020/01/01","02:54","-0.09","0.102","-"
"2020/01/01","03:00","-0.088","0.103","-"
"2020/01/01","03:06","-0.086","0.106","-"
"2020/01/01","03:12","-0.084","0.106","-"
"2020/01/01","03:18","-0.082","0.106","-"
"2020/01/01","03:24","-0.079","0.108","-"
"2020/01/01","03:30","-0.077","0.11","-"
"2020/01/01","03:36","-0.075","0.115","-"
"2020/01/01","03:42","-0.073","0.115","-"
"2020/01/01","03:48","-0.07","0.117","-"
"2020/01/01","03:54","-0.068","0.123","-"
"2020/01/01","04:00","-0.066","0.125","-"
"2020/01/01","04:06","-0.063","0.127","-"
"2020/01/01","04:12","-0.061","0.131","-"
"2020/01/01","04:18","-0.058","0.134","-"
"2020/01/01","04:24","-0.056","0.136","-"
"2020/01/01","04:30","-0.054","0.138","-"
"2020/01/01","04:36","-0.051","0.141","-"
"2020/01/01","04:42","-0.049","0.145","-"
"2020/01/01","04:48","-0.046","0.148","-"
"2020/01/01","04:54","-0.044","0.148","-"
"2020/01/01","05:00","-0.042","0.151","-"
"2020/01/01","05:06","-0.039","0.153","-"
"2020/01/01","05:12","-0.037","0.156","-"
"2020/01/01","05:18","-0.035","0.158","-"
"2020/01/01","05:24","-0.033","0.161","-"
"2020/01/01","05:30","-0.03","0.164","-"
"2020/01/01","05:36","-0.028","0.166","-"
"2020/01/01","05:42","-0.026","0.171","-"
"2020/01/01","05:48","-0.024","0.173","-"
"2020/01/01","05:54","-0.022","0.174","-"
"2020/01/01","06:00","-0.02","0.175","-"
"2020/01/01","06:06","-0.018","0.174","-"
"2020/01/01","06:12","-0.016","0.175","-"
"2020/01/01","06:18","-0.015","0.174","-"
"2020/01/01","06:24","-0.013","0.175","-"
"2020/01/01","06:30","-0.011","0.175","-"
"2020/01/01","06:36","-0.01","0.176","-"
"2020/01/01","06:42","-0.008","0.176","-"
"2020/01/01","06:48","-0.007","0.173","-"
"2020/01/01","06:54","-0.005","0.171","-"
"2020/01/01","07:00","-0.004","0.173","-"
"2020/01/01","07:06","-0.003","0.181","-"
"2020/01/01","07:12","-0.002","0.185","-"
"2020/01/01","07:18","-0.001","0.181","-"
"2020/01/01","07:24","0","0.182","-"
"2020/01/01","07:30","0.001","0.187","-"
"2020/01/01","07:36","0.002","0.187","-"
"2020/01/01","07:42","0.003","0.189","-"
"2020/01/01","07:48","0.003","0.19","-"
"2020/01/01","07:54","0.004","0.198","-"
"2020/01/01","08:00","0.004","0.197","-"
"2020/01/01","08:06","0.005","0.2","-"
"2020/01/01","08:12","0.005","0.2","-"
"2020/01/01","08:18","0.005","0.2","-"
"2020/01/01","08:24","0.006","0.204","-"
"2020/01/01","08:30","0.006","0.208","-"
"2020/01/01","08:36","0.006","0.208","-"
"2020/01/01","08:42","0.006","0.207","-"
"2020/01/01","08:48","0.006","0.207","-"
"2020/01/01","08:54","0.006","0.209","-"
"2020/01/01","09:00","0.005","0.208","-"
"2020/01/01","09:06","0.005","0.203","-"
"2020/01/01","09:12","0.005","0.203","-"
"2020/01/01","09:18","0.005","0.201","-"
"2020/01/01","09:24","0.004","0.197","-"
"2020/01/01","09:30","0.004","0.197","-"
"2020/01/01","09:36","0.003","0.198","-"
"2020/01/01","09:42","0.003","0.196","-"
"2020/01/01","09:48","0.002","0.195","-"
"2020/01/01","09:54","0.001","0.193","-"
"2020/01/01","10:00","0.001","0.193","-"
"2020/01/01","10:06","0","0.192","-"
"2020/01/01","10:12","-0.001","0.191","-"
"2020/01/01","10:18","-0.001","0.19","-"
"2020/01/01","10:24","-0.002","0.187","-"
"2020/01/01","10:30","-0.003","0.186","-"
"2020/01/01","10:36","-0.004","0.183","-"
"2020/01/01","10:42","-0.005","0.182","-"
"2020/01/01","10:48","-0.006","0.181","-"
"2020/01/01","10:54","-0.006","0.183","-"
"2020/01/01","11:00","-0.007","0.184","-"
"2020/01/01","11:06","-0.008","0.186","-"
"2020/01/01","11:12","-0.009","0.185","-"
"2020/01/01","11:18","-0.01","0.185","-"
"2020/01/01","11:24","-0.011","0.185","-"
"2020/01/01","11:30","-0.012","0.184","-"
"2020/01/01","11:36","-0.013","0.185","-"
"2020/01/01","11:42","-0.014","0.185","-"
"2020/01/01","11:48","-0.014","0.185","-"
"2020/01/01","11:54","-0.015","0.183","-"
"2020/01/01","12:00","-0.016","0.185","-"
"2020/01/01","12:06","-0.017","0.184","-"
"2020/01/01","12:12","-0.018","0.183","-"
"2020/01/01","12:18","-0.019","0.181","-"
"2020/01/01","12:24","-0.02","0.181","-"
"2020/01/01","12:30","-0.021","0.182","-"
"2020/01/01","12:36","-0.022","0.184","-"
"2020/01/01","12:42","-0.022","0.182","-"
"2020/01/01","12:48","-0.023","0.181","-"
"2020/01/01","12:54","-0.024","0.18","-"
"2020/01/01","13:00","-0.025","0.179","-"
"2020/01/01","13:06","-0.026","0.174","-"
"2020/01/01","13:12","-0.027","0.174","-"
"2020/01/01","13:18","-0.028","0.178","-"
"2020/01/01","13:24","-0.028","0.18","-"
"2020/01/01","13:30","-0.029","0.181","-"
"2020/01/01","13:36","-0.03","0.181","-"
"2020/01/01","13:42","-0.031","0.182","-"
"2020/01/01","13:48","-0.032","0.184","-"
"2020/01/01","13:54","-0.032","0.181","-"
"2020/01/01","14:00","-0.033","0.183","-"
"2020/01/01","14:06","-0.034","0.183","-"
"2020/01/01","14:12","-0.035","0.178","-"
"2020/01/01","14:18","-0.036","0.183","-"
"2020/01/01","14:24","-0.037","0.183","-"
"2020/01/01","14:30","-0.037","0.181","-"
"2020/01/01","14:36","-0.038","0.185","-"
"2020/01/01","14:42","-0.039","0.182","-"
"2020/01/01","14:48","-0.04","0.182","-"
"2020/01/01","14:54","-0.04","0.187","-"
"2020/01/01","15:00","-0.041","0.184","-"
"2020/01/01","15:06","-0.042","0.18","-"
"2020/01/01","15:12","-0.043","0.172","-"
"2020/01/01","15:18","-0.043","0.181","-"
"2020/01/01","15:24","-0.044","0.181","-"
"2020/01/01","15:30","-0.045","0.173","-"
"2020/01/01","15:36","-0.046","0.18","-"
"2020/01/01","15:42","-0.046","0.176","-"
"2020/01/01","15:48","-0.047","0.175","-"
"2020/01/01","15:54","-0.048","0.168","-"
"2020/01/01","16:00","-0.048","0.172","-"
"2020/01/01","16:06","-0.049","0.164","-"
"2020/01/01","16:12","-0.049","0.166","-"
"2020/01/01","16:18","-0.05","0.161","-"
"2020/01/01","16:24","-0.051","0.155","-"
"2020/01/01","16:30","-0.051","0.153","-"
"2020/01/01","16:36","-0.052","0.15","-"
"2020/01/01","16:42","-0.052","0.149","-"
"2020/01/01","16:48","-0.053","0.145","-"
"2020/01/01","16:54","-0.053","0.14","-"
"2020/01/01","17:00","-0.054","0.138","-"
"2020/01/01","17:06","-0.054","0.138","-"
"2020/01/01","17:12","-0.055","0.134","-"
"2020/01/01","17:18","-0.055","0.124","-"
"2020/01/01","17:24","-0.056","0.127","-"
"2020/01/01","17:30","-0.056","0.133","-"
"2020/01/01","17:36","-0.057","0.133","-"
"2020/01/01","17:42","-0.057","0.129","-"
"2020/01/01","17:48","-0.058","0.129","-"
"2020/01/01","17:54","-0.058","0.127","-"
"2020/01/01","18:00","-0.059","0.127","-"
"2020/01/01","18:06","-0.059","0.123","-"
"2020/01/01","18:12","-0.059","0.118","-"
"2020/01/01","18:18","-0.06","0.125","-"
"2020/01/01","18:24","-0.06","0.109","-"
"2020/01/01","18:30","-0.061","0.124","-"
"2020/01/01","18:36","-0.061","0.105","-"
"2020/01/01","18:42","-0.062","0.117","-"
"2020/01/01","18:48","-0.062","0.102","-"
"2020/01/01","18:54","-0.063","0.111","-"
"2020/01/01","19:00","-0.063","0.109","-"
"2020/01/01","19:06","-0.064","0.103","-"
"2020/01/01","19:12","-0.064","0.107","-"
"2020/01/01","19:18","-0.065","0.099","-"
"2020/01/01","19:24","-0.065","0.103","-"
"2020/01/01","19:30","-0.066","0.092","-"
"2020/01/01","19:36","-0.066","0.092","-"
"2020/01/01","19:42","-0.067","0.086","-"
"2020/01/01","19:48","-0.068","0.084","-"
"2020/01/01","19:54","-0.068","0.086","-"
"2020/01/01","20:00","-0.069","0.087","-"
"2020/01/01","20:06","-0.07","0.079","-"
"2020/01/01","20:12","-0.07","0.079","-"
"2020/01/01","20:18","-0.071","0.075","-"
"2020/01/01","20:24","-0.072","0.073","-"
"2020/01/01","20:30","-0.072","0.067","-"
"2020/01/01","20:36","-0.073","0.066","-"
"2020/01/01","20:42","-0.074","0.066","-"
"2020/01/01","20:48","-0.075","0.068","-"
"2020/01/01","20:54","-0.076","0.067","-"
"2020/01/01","21:00","-0.076","0.071","-"
"2020/01/01","21:06","-0.077","0.064","-"
"2020/01/01","21:12","-0.078","0.06","-"
"2020/01/01","21:18","-0.079","0.054","-"
"2020/01/01","21:24","-0.08","0.053","-"
"2020/01/01","21:30","-0.081","0.05","-"
"2020/01/01","21:36","-0.082","0.051","-"
"2020/01/01","21:42","-0.083","0.052","-"
"2020/01/01","21:48","-0.083","0.052","-"
"2020/01/01","21:54","-0.084","0.052","-"
"2020/01/01","22:00","-0.085","0.047","-"
"2020/01/01","22:06","-0.086","0.049","-"
"2020/01/01","22:12","-0.087","0.042","-"
"2020/01/01","22:18","-0.088","0.042","-"
"2020/01/01","22:24","-0.089","0.041","-"
"2020/01/01","22:30","-0.089","0.042","-"
"2020/01/01","22:36","-0.09","0.047","-"
"2020/01/01","22:42","-0.091","0.043","-"
"2020/01/01","22:48","-0.092","0.045","-"
"2020/01/01","22:54","-0.092","0.043","-"
"2020/01/01","23:00","-0.093","0.041","-"
"2020/01/01","23:06","-0.094","0.039","-"
"2020/01/01","23:12","-0.094","0.033","-"
"2020/01/01","23:18","-0.095","0.029","-"
"2020/01/01","23:24","-0.095","0.024","-"
"2020/01/01","23:30","-0.096","0.023","-"
"2020/01/01","23:36","-0.096","0.029","-"
"2020/01/01","23:42","-0.097","0.031","-"
"2020/01/01","23:48","-0.097","0.031","-"
"2020/01/01","23:54","-0.098","0.035","-"
"2020/01/02","00:00","-0.098","0.038","-"
"2020/01/02","00:06","-0.098","0.033","-"
"2020/01/02","00:12","-0.098","0.026","-"
"2020/01/02","00:18","-0.098","0.023","-"
"2020/01/02","00:24","-0.099","0.025","-"
"2020/01/02","00:30","-0.099","0.033","-"
"2020/01/02","00:36","-0.099","0.037","-"
"2020/01/02","00:42","-0.099","0.042","-"
"2020/01/02","00:48","-0.098","0.043","-"
"2020/01/02","00:54","-0.098","0.044","-"
"2020/01/02","01:00","-0.098","0.045","-"
"2020/01/02","01:06","-0.098","0.046","-"
"2020/01/02","01:12","-0.097","0.046","-"
"2020/01/02","01:18","-0.097","0.047","-"
"2020/01/02","01:24","-0.097","0.05","-"
"2020/01/02","01:30","-0.096","0.05","-"
"2020/01/02","01:36","-0.095","0.054","-"
"2020/01/02","01:42","-0.095","0.054","-"
"2020/01/02","01:48","-0.094","0.06","-"
"2020/01/02","01:54","-0.093","0.066","-"
"2020/01/02","02:00","-0.093","0.064","-"
"2020/01/02","02:06","-0.092","0.066","-"
"2020/01/02","02:12","-0.091","0.071","-"
"2020/01/02","02:18","-0.09","0.075","-"
"2020/01/02","02:24","-0.089","0.078","-"
"2020/01/02","02:30","-0.088","0.077","-"
"2020/01/02","02:36","-0.087","0.08","-"
"2020/01/02","02:42","-0.086","0.085","-"
"2020/01/02","02:48","-0.084","0.086","-"
"2020/01/02","02:54","-0.083","0.087","-"
"2020/01/02","03:00","-0.082","0.089","-"
"2020/01/02","03:06","-0.081","0.093","-"
"2020/01/02","03:12","-0.079","0.095","-"
"2020/01/02","03:18","-0.078","0.098","-"
"2020/01/02","03:24","-0.076","0.1","-"
"2020/01/02","03:30","-0.075","0.101","-"
"2020/01/02","03:36","-0.073","0.102","-"
"2020/01/02","03:42","-0.071","0.106","-"
"2020/01/02","03:48","-0.07","0.111","-"
"2020/01/02","03:54","-0.068","0.109","-"
"2020/01/02","04:00","-0.066","0.109","-"
"2020/01/02","04:06","-0.065","0.111","-"
"2020/01/02","04:12","-0.063","0.113","-"
"2020/01/02","04:18","-0.061","0.115","-"
"2020/01/02","04:24","-0.059","0.119","-"
"2020/01/02","04:30","-0.057","0.125","-"
"2020/01/02","04:36","-0.055","0.132","-"
"2020/01/02","04:42","-0.054","0.133","-"
"2020/01/02","04:48","-0.052","0.133","-"
"2020/01/02","04:54","-0.05","0.133","-"
"2020/01/02","05:00","-0.048","0.134","-"
"2020/01/02","05:06","-0.046","0.137","-"
"2020/01/02","05:12","-0.044","0.144","-"
"2020/01/02","05:18","-0.042","0.148","-"
"2020/01/02","05:24","-0.04","0.153","-"
"2020/01/02","05:30","-0.038","0.158","-"
"2020/01/02","05:36","-0.036","0.16","-"
"2020/01/02","05:42","-0.035","0.161","-"
"2020/01/02","05:48","-0.033","0.162","-"
"2020/01/02","05:54","-0.031","0.166","-"
"2020/01/02","06:00","-0.029","0.169","-"
"2020/01/02","06:06","-0.028","0.17","-"
"2020/01/02","06:12","-0.026","0.17","-"
"2020/01/02","06:18","-0.024","0.172","-"
"2020/01/02","06:24","-0.023","0.176","-"
