"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/07/01","00:00","0.122","0.313","-"
"2020/07/01","00:06","0.12","0.316","-"
"2020/07/01","00:12","0.118","0.311","-"
"2020/07/01","00:18","0.116","0.31","-"
"2020/07/01","00:24","0.114","0.31","-"
"2020/07/01","00:30","0.112","0.306","-"
"2020/07/01","00:36","0.11","0.305","-"
"2020/07/01","00:42","0.108","0.3","-"
"2020/07/01","00:48","0.106","0.295","-"
"2020/07/01","00:54","0.103","0.288","-"
"2020/07/01","01:00","0.101","0.284","-"
"2020/07/01","01:06","0.099","0.283","-"
"2020/07/01","01:12","0.096","0.281","-"
"2020/07/01","01:18","0.094","0.276","-"
"2020/07/01","01:24","0.092","0.274","-"
"2020/07/01","01:30","0.089","0.272","-"
"2020/07/01","01:36","0.087","0.266","-"
"2020/07/01","01:42","0.084","0.261","-"
"2020/07/01","01:48","0.082","0.255","-"
"2020/07/01","01:54","0.079","0.254","-"
"2020/07/01","02:00","0.077","0.248","-"
"2020/07/01","02:06","0.074","0.249","-"
"2020/07/01","02:12","0.072","0.244","-"
"2020/07/01","02:18","0.069","0.242","-"
"2020/07/01","02:24","0.067","0.242","-"
"2020/07/01","02:30","0.064","0.24","-"
"2020/07/01","02:36","0.062","0.238","-"
"2020/07/01","02:42","0.059","0.235","-"
"2020/07/01","02:48","0.057","0.234","-"
"2020/07/01","02:54","0.054","0.228","-"
"2020/07/01","03:00","0.052","0.226","-"
"2020/07/01","03:06","0.049","0.222","-"
"2020/07/01","03:12","0.047","0.218","-"
"2020/07/01","03:18","0.044","0.217","-"
"2020/07/01","03:24","0.042","0.216","-"
"2020/07/01","03:30","0.04","0.217","-"
"2020/07/01","03:36","0.038","0.213","-"
"2020/07/01","03:42","0.036","0.212","-"
"2020/07/01","03:48","0.034","0.209","-"
"2020/07/01","03:54","0.032","0.207","-"
"2020/07/01","04:00","0.03","0.203","-"
"2020/07/01","04:06","0.028","0.2","-"
"2020/07/01","04:12","0.026","0.198","-"
"2020/07/01","04:18","0.025","0.197","-"
"2020/07/01","04:24","0.023","0.195","-"
"2020/07/01","04:30","0.022","0.196","-"
"2020/07/01","04:36","0.021","0.194","-"
"2020/07/01","04:42","0.02","0.191","-"
"2020/07/01","04:48","0.019","0.19","-"
"2020/07/01","04:54","0.018","0.185","-"
"2020/07/01","05:00","0.017","0.184","-"
"2020/07/01","05:06","0.016","0.184","-"
"2020/07/01","05:12","0.016","0.185","-"
"2020/07/01","05:18","0.016","0.183","-"
"2020/07/01","05:24","0.015","0.18","-"
"2020/07/01","05:30","0.015","0.181","-"
"2020/07/01","05:36","0.015","0.186","-"
"2020/07/01","05:42","0.016","0.186","-"
"2020/07/01","05:48","0.016","0.186","-"
"2020/07/01","05:54","0.016","0.188","-"
"2020/07/01","06:00","0.017","0.188","-"
"2020/07/01","06:06","0.017","0.185","-"
"2020/07/01","06:12","0.018","0.183","-"
"2020/07/01","06:18","0.019","0.184","-"
"2020/07/01","06:24","0.02","0.185","-"
"2020/07/01","06:30","0.021","0.187","-"
"2020/07/01","06:36","0.022","0.195","-"
"2020/07/01","06:42","0.023","0.197","-"
"2020/07/01","06:48","0.025","0.2","-"
"2020/07/01","06:54","0.026","0.197","-"
"2020/07/01","07:00","0.027","0.197","-"
"2020/07/01","07:06","0.029","0.203","-"
"2020/07/01","07:12","0.03","0.207","-"
"2020/07/01","07:18","0.032","0.211","-"
"2020/07/01","07:24","0.034","0.213","-"
"2020/07/01","07:30","0.035","0.213","-"
"2020/07/01","07:36","0.037","0.212","-"
"2020/07/01","07:42","0.038","0.214","-"
"2020/07/01","07:48","0.04","0.218","-"
"2020/07/01","07:54","0.042","0.225","-"
"2020/07/01","08:00","0.044","0.225","-"
"2020/07/01","08:06","0.045","0.225","-"
"2020/07/01","08:12","0.047","0.228","-"
"2020/07/01","08:18","0.048","0.234","-"
"2020/07/01","08:24","0.05","0.239","-"
"2020/07/01","08:30","0.052","0.242","-"
"2020/07/01","08:36","0.053","0.244","-"
"2020/07/01","08:42","0.055","0.246","-"
"2020/07/01","08:48","0.056","0.249","-"
"2020/07/01","08:54","0.058","0.255","-"
"2020/07/01","09:00","0.059","0.256","-"
"2020/07/01","09:06","0.061","0.259","-"
"2020/07/01","09:12","0.062","0.259","-"
"2020/07/01","09:18","0.064","0.259","-"
"2020/07/01","09:24","0.065","0.261","-"
"2020/07/01","09:30","0.066","0.264","-"
"2020/07/01","09:36","0.067","0.266","-"
"2020/07/01","09:42","0.069","0.27","-"
"2020/07/01","09:48","0.07","0.272","-"
"2020/07/01","09:54","0.071","0.272","-"
"2020/07/01","10:00","0.072","0.272","-"
"2020/07/01","10:06","0.073","0.272","-"
"2020/07/01","10:12","0.074","0.273","-"
"2020/07/01","10:18","0.076","0.276","-"
"2020/07/01","10:24","0.077","0.276","-"
"2020/07/01","10:30","0.078","0.28","-"
"2020/07/01","10:36","0.079","0.282","-"
"2020/07/01","10:42","0.08","0.283","-"
"2020/07/01","10:48","0.081","0.286","-"
"2020/07/01","10:54","0.082","0.288","-"
"2020/07/01","11:00","0.083","0.292","-"
"2020/07/01","11:06","0.084","0.293","-"
"2020/07/01","11:12","0.085","0.296","-"
"2020/07/01","11:18","0.086","0.297","-"
"2020/07/01","11:24","0.087","0.296","-"
"2020/07/01","11:30","0.088","0.296","-"
"2020/07/01","11:36","0.089","0.297","-"
"2020/07/01","11:42","0.09","0.299","-"
"2020/07/01","11:48","0.091","0.301","-"
"2020/07/01","11:54","0.092","0.301","-"
"2020/07/01","12:00","0.093","0.303","-"
"2020/07/01","12:06","0.094","0.303","-"
"2020/07/01","12:12","0.095","0.304","-"
"2020/07/01","12:18","0.096","0.305","-"
"2020/07/01","12:24","0.097","0.304","-"
"2020/07/01","12:30","0.098","0.303","-"
"2020/07/01","12:36","0.099","0.304","-"
"2020/07/01","12:42","0.1","0.305","-"
"2020/07/01","12:48","0.102","0.307","-"
"2020/07/01","12:54","0.103","0.309","-"
"2020/07/01","13:00","0.104","0.31","-"
"2020/07/01","13:06","0.105","0.311","-"
"2020/07/01","13:12","0.106","0.311","-"
"2020/07/01","13:18","0.107","0.313","-"
"2020/07/01","13:24","0.108","0.312","-"
"2020/07/01","13:30","0.11","0.311","-"
"2020/07/01","13:36","0.111","0.309","-"
"2020/07/01","13:42","0.112","0.311","-"
"2020/07/01","13:48","0.113","0.313","-"
"2020/07/01","13:54","0.114","0.315","-"
"2020/07/01","14:00","0.116","0.315","-"
"2020/07/01","14:06","0.117","0.314","-"
"2020/07/01","14:12","0.118","0.318","-"
"2020/07/01","14:18","0.119","0.319","-"
"2020/07/01","14:24","0.12","0.323","-"
"2020/07/01","14:30","0.121","0.325","-"
"2020/07/01","14:36","0.123","0.322","-"
"2020/07/01","14:42","0.124","0.322","-"
"2020/07/01","14:48","0.125","0.322","-"
"2020/07/01","14:54","0.126","0.313","-"
"2020/07/01","15:00","0.127","0.312","-"
"2020/07/01","15:06","0.129","0.317","-"
"2020/07/01","15:12","0.13","0.321","-"
"2020/07/01","15:18","0.131","0.327","-"
"2020/07/01","15:24","0.132","0.323","-"
"2020/07/01","15:30","0.134","0.323","-"
"2020/07/01","15:36","0.135","0.325","-"
"2020/07/01","15:42","0.136","0.325","-"
"2020/07/01","15:48","0.137","0.318","-"
"2020/07/01","15:54","0.139","0.32","-"
"2020/07/01","16:00","0.14","0.325","-"
"2020/07/01","16:06","0.141","0.322","-"
"2020/07/01","16:12","0.143","0.323","-"
"2020/07/01","16:18","0.144","0.323","-"
"2020/07/01","16:24","0.145","0.328","-"
"2020/07/01","16:30","0.147","0.324","-"
"2020/07/01","16:36","0.148","0.324","-"
"2020/07/01","16:42","0.149","0.323","-"
"2020/07/01","16:48","0.151","0.328","-"
"2020/07/01","16:54","0.152","0.335","-"
"2020/07/01","17:00","0.154","0.328","-"
"2020/07/01","17:06","0.155","0.329","-"
"2020/07/01","17:12","0.157","0.325","-"
"2020/07/01","17:18","0.158","0.331","-"
"2020/07/01","17:24","0.16","0.333","-"
"2020/07/01","17:30","0.161","0.341","-"
"2020/07/01","17:36","0.163","0.338","-"
"2020/07/01","17:42","0.164","0.337","-"
"2020/07/01","17:48","0.166","0.341","-"
"2020/07/01","17:54","0.167","0.34","-"
"2020/07/01","18:00","0.169","0.348","-"
"2020/07/01","18:06","0.17","0.343","-"
"2020/07/01","18:12","0.171","0.352","-"
"2020/07/01","18:18","0.173","0.353","-"
"2020/07/01","18:24","0.174","0.358","-"
"2020/07/01","18:30","0.176","0.356","-"
"2020/07/01","18:36","0.177","0.362","-"
