"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/06/01","00:00","0.237","0.437","-"
"2020/06/01","00:06","0.236","0.433","-"
"2020/06/01","00:12","0.236","0.436","-"
"2020/06/01","00:18","0.235","0.437","-"
"2020/06/01","00:24","0.234","0.433","-"
"2020/06/01","00:30","0.234","0.424","-"
"2020/06/01","00:36","0.233","0.419","-"
"2020/06/01","00:42","0.232","0.42","-"
"2020/06/01","00:48","0.231","0.424","-"
"2020/06/01","00:54","0.23","0.426","-"
"2020/06/01","01:00","0.229","0.429","-"
"2020/06/01","01:06","0.227","0.429","-"
"2020/06/01","01:12","0.226","0.425","-"
"2020/06/01","01:18","0.225","0.419","-"
"2020/06/01","01:24","0.223","0.412","-"
"2020/06/01","01:30","0.222","0.411","-"
"2020/06/01","01:36","0.22","0.405","-"
"2020/06/01","01:42","0.219","0.405","-"
"2020/06/01","01:48","0.217","0.405","-"
"2020/06/01","01:54","0.215","0.407","-"
"2020/06/01","02:00","0.214","0.404","-"
"2020/06/01","02:06","0.212","0.397","-"
"2020/06/01","02:12","0.21","0.397","-"
"2020/06/01","02:18","0.208","0.397","-"
"2020/06/01","02:24","0.207","0.397","-"
"2020/06/01","02:30","0.205","0.392","-"
"2020/06/01","02:36","0.203","0.39","-"
"2020/06/01","02:42","0.201","0.385","-"
"2020/06/01","02:48","0.199","0.389","-"
"2020/06/01","02:54","0.197","0.388","-"
"2020/06/01","03:00","0.195","0.391","-"
"2020/06/01","03:06","0.193","0.387","-"
"2020/06/01","03:12","0.192","0.388","-"
"2020/06/01","03:18","0.19","0.383","-"
"2020/06/01","03:24","0.188","0.381","-"
"2020/06/01","03:30","0.186","0.382","-"
"2020/06/01","03:36","0.184","0.378","-"
"2020/06/01","03:42","0.183","0.383","-"
"2020/06/01","03:48","0.181","0.371","-"
"2020/06/01","03:54","0.18","0.376","-"
"2020/06/01","04:00","0.178","0.373","-"
"2020/06/01","04:06","0.177","0.371","-"
"2020/06/01","04:12","0.175","0.371","-"
"2020/06/01","04:18","0.174","0.368","-"
"2020/06/01","04:24","0.173","0.369","-"
"2020/06/01","04:30","0.171","0.369","-"
"2020/06/01","04:36","0.17","0.372","-"
"2020/06/01","04:42","0.169","0.373","-"
"2020/06/01","04:48","0.168","0.373","-"
"2020/06/01","04:54","0.167","0.372","-"
"2020/06/01","05:00","0.167","0.379","-"
"2020/06/01","05:06","0.166","0.383","-"
"2020/06/01","05:12","0.165","0.387","-"
"2020/06/01","05:18","0.165","0.389","-"
"2020/06/01","05:24","0.164","0.392","-"
"2020/06/01","05:30","0.164","0.391","-"
"2020/06/01","05:36","0.163","0.39","-"
"2020/06/01","05:42","0.163","0.397","-"
"2020/06/01","05:48","0.163","0.398","-"
"2020/06/01","05:54","0.163","0.403","-"
"2020/06/01","06:00","0.162","0.402","-"
"2020/06/01","06:06","0.162","0.409","-"
"2020/06/01","06:12","0.162","0.408","-"
"2020/06/01","06:18","0.162","0.409","-"
"2020/06/01","06:24","0.162","0.406","-"
"2020/06/01","06:30","0.162","0.411","-"
"2020/06/01","06:36","0.162","0.418","-"
"2020/06/01","06:42","0.163","0.421","-"
"2020/06/01","06:48","0.163","0.424","-"
"2020/06/01","06:54","0.163","0.422","-"
"2020/06/01","07:00","0.163","0.421","-"
"2020/06/01","07:06","0.163","0.418","-"
"2020/06/01","07:12","0.163","0.416","-"
"2020/06/01","07:18","0.163","0.414","-"
"2020/06/01","07:24","0.163","0.413","-"
"2020/06/01","07:30","0.163","0.41","-"
"2020/06/01","07:36","0.163","0.405","-"
"2020/06/01","07:42","0.163","0.406","-"
"2020/06/01","07:48","0.163","0.407","-"
"2020/06/01","07:54","0.163","0.407","-"
"2020/06/01","08:00","0.163","0.403","-"
"2020/06/01","08:06","0.163","0.4","-"
"2020/06/01","08:12","0.163","0.394","-"
"2020/06/01","08:18","0.163","0.393","-"
"2020/06/01","08:24","0.163","0.396","-"
"2020/06/01","08:30","0.162","0.404","-"
"2020/06/01","08:36","0.162","0.418","-"
"2020/06/01","08:42","0.162","0.433","-"
"2020/06/01","08:48","0.161","0.421","-"
"2020/06/01","08:54","0.161","0.425","-"
"2020/06/01","09:00","0.16","0.401","-"
"2020/06/01","09:06","0.16","0.404","-"
"2020/06/01","09:12","0.159","0.404","-"
"2020/06/01","09:18","0.159","0.422","-"
"2020/06/01","09:24","0.158","0.423","-"
"2020/06/01","09:30","0.158","0.419","-"
"2020/06/01","09:36","0.157","0.422","-"
"2020/06/01","09:42","0.156","0.421","-"
"2020/06/01","09:48","0.155","0.418","-"
"2020/06/01","09:54","0.155","0.408","-"
"2020/06/01","10:00","0.154","0.41","-"
"2020/06/01","10:06","0.153","0.411","-"
"2020/06/01","10:12","0.152","0.418","-"
"2020/06/01","10:18","0.151","0.416","-"
"2020/06/01","10:24","0.15","0.416","-"
"2020/06/01","10:30","0.15","0.419","-"
"2020/06/01","10:36","0.149","0.416","-"
"2020/06/01","10:42","0.148","0.42","-"
"2020/06/01","10:48","0.147","0.413","-"
"2020/06/01","10:54","0.146","0.427","-"
"2020/06/01","11:00","0.145","0.436","-"
"2020/06/01","11:06","0.144","0.434","-"
"2020/06/01","11:12","0.143","0.429","-"
"2020/06/01","11:18","0.143","0.424","-"
"2020/06/01","11:24","0.142","0.418","-"
"2020/06/01","11:30","0.141","0.407","-"
"2020/06/01","11:36","0.14","0.405","-"
"2020/06/01","11:42","0.139","0.41","-"
"2020/06/01","11:48","0.138","0.43","-"
"2020/06/01","11:54","0.138","0.437","-"
"2020/06/01","12:00","0.137","0.43","-"
"2020/06/01","12:06","0.136","0.418","-"
"2020/06/01","12:12","0.135","0.424","-"
"2020/06/01","12:18","0.134","0.429","-"
"2020/06/01","12:24","0.134","0.411","-"
"2020/06/01","12:30","0.133","0.424","-"
"2020/06/01","12:36","0.132","0.434","-"
"2020/06/01","12:42","0.132","0.425","-"
"2020/06/01","12:48","0.131","0.424","-"
"2020/06/01","12:54","0.13","0.41","-"
"2020/06/01","13:00","0.129","0.379","-"
"2020/06/01","13:06","0.129","0.398","-"
"2020/06/01","13:12","0.128","0.392","-"
"2020/06/01","13:18","0.128","0.39","-"
"2020/06/01","13:24","0.127","0.375","-"
"2020/06/01","13:30","0.126","0.411","-"
"2020/06/01","13:36","0.126","0.414","-"
"2020/06/01","13:42","0.125","0.388","-"
"2020/06/01","13:48","0.125","0.384","-"
"2020/06/01","13:54","0.124","0.388","-"
"2020/06/01","14:00","0.124","0.375","-"
"2020/06/01","14:06","0.123","0.381","-"
"2020/06/01","14:12","0.123","0.402","-"
"2020/06/01","14:18","0.123","0.367","-"
"2020/06/01","14:24","0.122","0.372","-"
"2020/06/01","14:30","0.122","0.369","-"
"2020/06/01","14:36","0.122","0.377","-"
"2020/06/01","14:42","0.122","0.366","-"
"2020/06/01","14:48","0.122","0.375","-"
"2020/06/01","14:54","0.122","0.375","-"
"2020/06/01","15:00","0.122","0.372","-"
"2020/06/01","15:06","0.122","0.368","-"
"2020/06/01","15:12","0.122","0.355","-"
"2020/06/01","15:18","0.122","0.354","-"
"2020/06/01","15:24","0.122","0.348","-"
"2020/06/01","15:30","0.123","0.344","-"
"2020/06/01","15:36","0.123","0.337","-"
"2020/06/01","15:42","0.123","0.342","-"
"2020/06/01","15:48","0.124","0.345","-"
"2020/06/01","15:54","0.125","0.344","-"
"2020/06/01","16:00","0.125","0.348","-"
"2020/06/01","16:06","0.126","0.355","-"
"2020/06/01","16:12","0.127","0.356","-"
"2020/06/01","16:18","0.128","0.363","-"
"2020/06/01","16:24","0.129","0.353","-"
"2020/06/01","16:30","0.131","0.364","-"
"2020/06/01","16:36","0.132","0.349","-"
"2020/06/01","16:42","0.133","0.365","-"
"2020/06/01","16:48","0.135","0.379","-"
"2020/06/01","16:54","0.136","0.41","-"
"2020/06/01","17:00","0.138","0.426","-"
"2020/06/01","17:06","0.14","0.426","-"
"2020/06/01","17:12","0.142","0.435","-"
"2020/06/01","17:18","0.143","0.443","-"
"2020/06/01","17:24","0.145","0.442","-"
"2020/06/01","17:30","0.148","0.437","-"
"2020/06/01","17:36","0.15","0.438","-"
"2020/06/01","17:42","0.152","0.455","-"
"2020/06/01","17:48","0.154","0.454","-"
"2020/06/01","17:54","0.156","0.455","-"
"2020/06/01","18:00","0.159","0.46","-"
"2020/06/01","18:06","0.161","0.473","-"
"2020/06/01","18:12","0.164","0.476","-"
"2020/06/01","18:18","0.166","0.474","-"
"2020/06/01","18:24","0.168","0.473","-"
"2020/06/01","18:30","0.171","0.476","-"
"2020/06/01","18:36","0.173","0.484","-"
"2020/06/01","18:42","0.176","0.479","-"
"2020/06/01","18:48","0.178","0.487","-"
"2020/06/01","18:54","0.181","0.496","-"
"2020/06/01","19:00","0.183","0.493","-"
"2020/06/01","19:06","0.186","0.491","-"
"2020/06/01","19:12","0.188","0.49","-"
"2020/06/01","19:18","0.191","0.482","-"
"2020/06/01","19:24","0.193","0.483","-"
"2020/06/01","19:30","0.195","0.473","-"
"2020/06/01","19:36","0.197","0.468","-"
"2020/06/01","19:42","0.199","0.461","-"
"2020/06/01","19:48","0.202","0.461","-"
"2020/06/01","19:54","0.204","0.47","-"
"2020/06/01","20:00","0.206","0.475","-"
"2020/06/01","20:06","0.207","0.483","-"
"2020/06/01","20:12","0.209","0.489","-"
"2020/06/01","20:18","0.211","0.488","-"
"2020/06/01","20:24","0.213","0.49","-"
"2020/06/01","20:30","0.214","0.489","-"
"2020/06/01","20:36","0.216","0.484","-"
"2020/06/01","20:42","0.217","0.485","-"
"2020/06/01","20:48","0.218","0.486","-"
"2020/06/01","20:54","0.219","0.5","-"
"2020/06/01","21:00","0.221","0.513","-"
"2020/06/01","21:06","0.222","0.516","-"
"2020/06/01","21:12","0.222","0.517","-"
"2020/06/01","21:18","0.223","0.52","-"
"2020/06/01","21:24","0.224","0.522","-"
"2020/06/01","21:30","0.225","0.529","-"
"2020/06/01","21:36","0.225","0.529","-"
"2020/06/01","21:42","0.226","0.529","-"
"2020/06/01","21:48","0.226","0.532","-"
"2020/06/01","21:54","0.226","0.537","-"
"2020/06/01","22:00","0.227","0.538","-"
"2020/06/01","22:06","0.227","0.539","-"
"2020/06/01","22:12","0.227","0.548","-"
"2020/06/01","22:18","0.227","0.551","-"
