"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/06/01","00:00","0.777","1.43","-"
"2020/06/01","00:06","0.775","1.42","-"
"2020/06/01","00:12","0.773","1.43","-"
"2020/06/01","00:18","0.771","1.43","-"
"2020/06/01","00:24","0.769","1.42","-"
"2020/06/01","00:30","0.766","1.39","-"
"2020/06/01","00:36","0.763","1.38","-"
"2020/06/01","00:42","0.76","1.38","-"
"2020/06/01","00:48","0.757","1.39","-"
"2020/06/01","00:54","0.753","1.4","-"
"2020/06/01","01:00","0.75","1.41","-"
"2020/06/01","01:06","0.746","1.41","-"
"2020/06/01","01:12","0.742","1.39","-"
"2020/06/01","01:18","0.737","1.38","-"
"2020/06/01","01:24","0.733","1.35","-"
"2020/06/01","01:30","0.728","1.35","-"
"2020/06/01","01:36","0.723","1.33","-"
"2020/06/01","01:42","0.718","1.33","-"
"2020/06/01","01:48","0.712","1.33","-"
"2020/06/01","01:54","0.707","1.34","-"
"2020/06/01","02:00","0.701","1.33","-"
"2020/06/01","02:06","0.695","1.3","-"
"2020/06/01","02:12","0.69","1.3","-"
"2020/06/01","02:18","0.684","1.3","-"
"2020/06/01","02:24","0.678","1.3","-"
"2020/06/01","02:30","0.671","1.29","-"
"2020/06/01","02:36","0.665","1.28","-"
"2020/06/01","02:42","0.659","1.26","-"
"2020/06/01","02:48","0.653","1.28","-"
"2020/06/01","02:54","0.647","1.27","-"
"2020/06/01","03:00","0.641","1.28","-"
"2020/06/01","03:06","0.634","1.27","-"
"2020/06/01","03:12","0.628","1.27","-"
"2020/06/01","03:18","0.622","1.26","-"
"2020/06/01","03:24","0.616","1.25","-"
"2020/06/01","03:30","0.611","1.25","-"
"2020/06/01","03:36","0.605","1.24","-"
"2020/06/01","03:42","0.6","1.26","-"
"2020/06/01","03:48","0.594","1.22","-"
"2020/06/01","03:54","0.589","1.23","-"
"2020/06/01","04:00","0.584","1.22","-"
"2020/06/01","04:06","0.579","1.22","-"
"2020/06/01","04:12","0.575","1.22","-"
"2020/06/01","04:18","0.57","1.21","-"
"2020/06/01","04:24","0.566","1.21","-"
"2020/06/01","04:30","0.562","1.21","-"
"2020/06/01","04:36","0.559","1.22","-"
"2020/06/01","04:42","0.555","1.22","-"
"2020/06/01","04:48","0.552","1.22","-"
"2020/06/01","04:54","0.549","1.22","-"
"2020/06/01","05:00","0.547","1.24","-"
"2020/06/01","05:06","0.544","1.26","-"
"2020/06/01","05:12","0.542","1.27","-"
"2020/06/01","05:18","0.54","1.28","-"
"2020/06/01","05:24","0.539","1.29","-"
"2020/06/01","05:30","0.537","1.28","-"
"2020/06/01","05:36","0.536","1.28","-"
"2020/06/01","05:42","0.535","1.3","-"
"2020/06/01","05:48","0.534","1.31","-"
"2020/06/01","05:54","0.533","1.32","-"
"2020/06/01","06:00","0.533","1.32","-"
"2020/06/01","06:06","0.533","1.34","-"
"2020/06/01","06:12","0.533","1.34","-"
"2020/06/01","06:18","0.532","1.34","-"
"2020/06/01","06:24","0.533","1.33","-"
"2020/06/01","06:30","0.533","1.35","-"
"2020/06/01","06:36","0.533","1.37","-"
"2020/06/01","06:42","0.533","1.38","-"
"2020/06/01","06:48","0.534","1.39","-"
"2020/06/01","06:54","0.534","1.39","-"
