"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/05/01","00:00","0.328","0.403","-"
"2020/05/01","00:06","0.329","0.405","-"
"2020/05/01","00:12","0.33","-","-"
"2020/05/01","00:18","0.33","0.404","-"
"2020/05/01","00:24","0.331","0.401","-"
"2020/05/01","00:30","0.331","0.4","-"
"2020/05/01","00:36","0.331","0.4","-"
"2020/05/01","00:42","0.332","0.397","-"
"2020/05/01","00:48","0.332","0.395","-"
"2020/05/01","00:54","0.332","0.395","-"
"2020/05/01","01:00","0.332","0.394","-"
"2020/05/01","01:06","0.332","0.388","-"
"2020/05/01","01:12","0.332","0.387","-"
"2020/05/01","01:18","0.331","0.385","-"
"2020/05/01","01:24","0.331","0.384","-"
"2020/05/01","01:30","0.331","0.379","-"
"2020/05/01","01:36","0.331","0.378","-"
"2020/05/01","01:42","0.33","0.375","-"
"2020/05/01","01:48","0.33","-","-"
"2020/05/01","01:54","0.329","0.368","-"
"2020/05/01","02:00","0.329","0.366","-"
"2020/05/01","02:06","0.328","0.362","-"
"2020/05/01","02:12","0.327","0.359","-"
"2020/05/01","02:18","0.327","0.357","-"
"2020/05/01","02:24","0.326","0.356","-"
"2020/05/01","02:30","0.325","0.352","-"
"2020/05/01","02:36","0.324","0.349","-"
"2020/05/01","02:42","0.323","0.349","-"
"2020/05/01","02:48","0.322","0.347","-"
"2020/05/01","02:54","0.321","0.345","-"
"2020/05/01","03:00","0.32","0.341","-"
"2020/05/01","03:06","0.319","0.339","-"
"2020/05/01","03:12","0.318","0.334","-"
"2020/05/01","03:18","0.317","0.337","-"
"2020/05/01","03:24","0.316","0.333","-"
"2020/05/01","03:30","0.315","0.332","-"
"2020/05/01","03:36","0.314","0.33","-"
"2020/05/01","03:42","0.312","0.327","-"
"2020/05/01","03:48","0.311","0.324","-"
"2020/05/01","03:54","0.31","0.321","-"
"2020/05/01","04:00","0.309","0.32","-"
"2020/05/01","04:06","0.307","0.317","-"
"2020/05/01","04:12","0.306","0.314","-"
"2020/05/01","04:18","0.304","0.313","-"
"2020/05/01","04:24","0.303","0.311","-"
"2020/05/01","04:30","0.301","0.31","-"
"2020/05/01","04:36","0.3","0.307","-"
"2020/05/01","04:42","0.298","0.306","-"
"2020/05/01","04:48","0.297","0.302","-"
"2020/05/01","04:54","0.295","0.302","-"
"2020/05/01","05:00","0.293","0.3","-"
"2020/05/01","05:06","0.292","0.299","-"
"2020/05/01","05:12","0.29","0.296","-"
"2020/05/01","05:18","0.288","0.299","-"
"2020/05/01","05:24","0.286","0.287","-"
"2020/05/01","05:30","0.284","0.293","-"
"2020/05/01","05:36","0.282","0.281","-"
"2020/05/01","05:42","0.281","0.29","-"
"2020/05/01","05:48","0.279","0.282","-"
"2020/05/01","05:54","0.277","0.281","-"
"2020/05/01","06:00","0.274","0.277","-"
"2020/05/01","06:06","0.272","0.275","-"
"2020/05/01","06:12","0.27","0.271","-"
"2020/05/01","06:18","0.268","0.268","-"
"2020/05/01","06:24","0.266","0.269","-"
"2020/05/01","06:30","0.264","0.264","-"
"2020/05/01","06:36","0.261","0.264","-"
"2020/05/01","06:42","0.259","0.257","-"
"2020/05/01","06:48","0.256","0.259","-"
"2020/05/01","06:54","0.254","0.255","-"
"2020/05/01","07:00","0.252","0.25","-"
"2020/05/01","07:06","0.249","0.249","-"
"2020/05/01","07:12","0.246","0.244","-"
"2020/05/01","07:18","0.244","0.24","-"
"2020/05/01","07:24","0.241","0.238","-"
"2020/05/01","07:30","0.239","0.235","-"
"2020/05/01","07:36","0.236","0.236","-"
"2020/05/01","07:42","0.233","0.232","-"
"2020/05/01","07:48","0.23","0.226","-"
"2020/05/01","07:54","0.228","0.227","-"
"2020/05/01","08:00","0.225","0.219","-"
"2020/05/01","08:06","0.222","0.222","-"
"2020/05/01","08:12","0.219","0.217","-"
"2020/05/01","08:18","0.216","0.211","-"
"2020/05/01","08:24","0.213","0.21","-"
"2020/05/01","08:30","0.21","0.211","-"
"2020/05/01","08:36","0.207","0.205","-"
"2020/05/01","08:42","0.204","0.2","-"
"2020/05/01","08:48","0.201","0.198","-"
"2020/05/01","08:54","0.198","0.194","-"
"2020/05/01","09:00","0.195","0.195","-"
"2020/05/01","09:06","0.192","0.192","-"
"2020/05/01","09:12","0.189","0.191","-"
"2020/05/01","09:18","0.186","0.187","-"
"2020/05/01","09:24","0.183","0.183","-"
"2020/05/01","09:30","0.179","0.183","-"
"2020/05/01","09:36","0.176","0.178","-"
"2020/05/01","09:42","0.173","0.178","-"
"2020/05/01","09:48","0.17","0.175","-"
"2020/05/01","09:54","0.167","0.175","-"
"2020/05/01","10:00","0.164","0.177","-"
"2020/05/01","10:06","0.161","0.169","-"
"2020/05/01","10:12","0.158","0.171","-"
"2020/05/01","10:18","0.155","0.163","-"
"2020/05/01","10:24","0.152","0.163","-"
"2020/05/01","10:30","0.149","0.161","-"
"2020/05/01","10:36","0.146","0.157","-"
"2020/05/01","10:42","0.143","0.157","-"
"2020/05/01","10:48","0.14","0.153","-"
"2020/05/01","10:54","0.137","0.152","-"
"2020/05/01","11:00","0.134","0.15","-"
"2020/05/01","11:06","0.131","0.149","-"
"2020/05/01","11:12","0.128","0.142","-"
"2020/05/01","11:18","0.125","0.143","-"
"2020/05/01","11:24","0.122","0.14","-"
