"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/11/01","00:00","0.208","0.273","-"
"2020/11/01","00:06","0.211","0.277","-"
"2020/11/01","00:12","0.213","0.277","-"
"2020/11/01","00:18","0.215","0.283","-"
"2020/11/01","00:24","0.217","0.284","-"
"2020/11/01","00:30","0.219","0.287","-"
"2020/11/01","00:36","0.221","0.286","-"
"2020/11/01","00:42","0.223","0.288","-"
"2020/11/01","00:48","0.225","0.288","-"
"2020/11/01","00:54","0.227","0.293","-"
"2020/11/01","01:00","0.228","0.29","-"
"2020/11/01","01:06","0.23","0.295","-"
"2020/11/01","01:12","0.232","0.299","-"
"2020/11/01","01:18","0.234","0.295","-"
"2020/11/01","01:24","0.235","0.299","-"
"2020/11/01","01:30","0.237","0.294","-"
"2020/11/01","01:36","0.239","0.301","-"
"2020/11/01","01:42","0.24","0.302","-"
"2020/11/01","01:48","0.242","0.305","-"
"2020/11/01","01:54","0.243","0.307","-"
"2020/11/01","02:00","0.244","0.305","-"
"2020/11/01","02:06","0.246","0.305","-"
"2020/11/01","02:12","0.247","0.309","-"
"2020/11/01","02:18","0.248","0.312","-"
"2020/11/01","02:24","0.249","0.311","-"
"2020/11/01","02:30","0.251","0.312","-"
"2020/11/01","02:36","0.252","0.313","-"
"2020/11/01","02:42","0.253","0.317","-"
"2020/11/01","02:48","0.254","0.316","-"
"2020/11/01","02:54","0.254","0.318","-"
"2020/11/01","03:00","0.255","0.316","-"
"2020/11/01","03:06","0.256","0.321","-"
"2020/11/01","03:12","0.257","0.321","-"
"2020/11/01","03:18","0.258","-","-"
"2020/11/01","03:24","0.258","0.321","-"
"2020/11/01","03:30","0.259","0.321","-"
"2020/11/01","03:36","0.26","0.323","-"
"2020/11/01","03:42","0.26","0.322","-"
"2020/11/01","03:48","0.261","0.324","-"
"2020/11/01","03:54","0.262","0.326","-"
"2020/11/01","04:00","0.262","0.327","-"
"2020/11/01","04:06","0.263","0.326","-"
"2020/11/01","04:12","0.263","0.327","-"
"2020/11/01","04:18","0.264","0.327","-"
"2020/11/01","04:24","0.264","0.328","-"
"2020/11/01","04:30","0.265","0.328","-"
"2020/11/01","04:36","0.265","0.33","-"
"2020/11/01","04:42","0.266","0.333","-"
"2020/11/01","04:48","0.266","0.333","-"
"2020/11/01","04:54","0.267","-","-"
