"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2020/09/01","00:00","0.268","0.437","-"
"2020/09/01","00:06","0.266","0.435","-"
"2020/09/01","00:12","0.264","0.435","-"
"2020/09/01","00:18","0.263","0.432","-"
"2020/09/01","00:24","0.261","0.43","-"
"2020/09/01","00:30","0.259","0.425","-"
"2020/09/01","00:36","0.257","0.422","-"
"2020/09/01","00:42","0.255","0.413","-"
"2020/09/01","00:48","0.253","0.416","-"
"2020/09/01","00:54","0.251","0.415","-"
"2020/09/01","01:00","0.248","0.412","-"
"2020/09/01","01:06","0.246","0.413","-"
"2020/09/01","01:12","0.244","0.411","-"
"2020/09/01","01:18","0.241","0.412","-"
"2020/09/01","01:24","0.239","0.412","-"
"2020/09/01","01:30","0.236","0.408","-"
"2020/09/01","01:36","0.233","0.405","-"
"2020/09/01","01:42","0.231","0.406","-"
"2020/09/01","01:48","0.228","0.405","-"
"2020/09/01","01:54","0.225","0.403","-"
"2020/09/01","02:00","0.222","0.402","-"
"2020/09/01","02:06","0.219","0.405","-"
"2020/09/01","02:12","0.216","0.402","-"
"2020/09/01","02:18","0.213","0.405","-"
"2020/09/01","02:24","0.21","0.402","-"
"2020/09/01","02:30","0.207","0.401","-"
"2020/09/01","02:36","0.204","0.405","-"
"2020/09/01","02:42","0.201","0.403","-"
"2020/09/01","02:48","0.197","0.401","-"
"2020/09/01","02:54","0.194","0.401","-"
"2020/09/01","03:00","0.191","0.4","-"
"2020/09/01","03:06","0.187","0.396","-"
"2020/09/01","03:12","0.184","0.393","-"
"2020/09/01","03:18","0.18","0.389","-"
"2020/09/01","03:24","0.177","0.387","-"
"2020/09/01","03:30","0.173","0.382","-"
"2020/09/01","03:36","0.169","0.383","-"
"2020/09/01","03:42","0.166","0.371","-"
"2020/09/01","03:48","0.162","0.364","-"
"2020/09/01","03:54","0.158","0.36","-"
"2020/09/01","04:00","0.155","0.356","-"
"2020/09/01","04:06","0.151","0.349","-"
"2020/09/01","04:12","0.147","0.349","-"
"2020/09/01","04:18","0.144","0.336","-"
"2020/09/01","04:24","0.14","0.332","-"
"2020/09/01","04:30","0.136","0.322","-"
"2020/09/01","04:36","0.133","0.322","-"
"2020/09/01","04:42","0.129","0.312","-"
"2020/09/01","04:48","0.125","0.307","-"
"2020/09/01","04:54","0.122","0.306","-"
"2020/09/01","05:00","0.118","0.299","-"
"2020/09/01","05:06","0.115","0.299","-"
"2020/09/01","05:12","0.111","0.297","-"
"2020/09/01","05:18","0.108","0.296","-"
"2020/09/01","05:24","0.104","0.292","-"
"2020/09/01","05:30","0.101","0.291","-"
"2020/09/01","05:36","0.098","0.288","-"
"2020/09/01","05:42","0.094","0.284","-"
"2020/09/01","05:48","0.091","0.285","-"
"2020/09/01","05:54","0.088","0.279","-"
"2020/09/01","06:00","0.085","0.276","-"
"2020/09/01","06:06","0.082","0.268","-"
"2020/09/01","06:12","0.079","0.266","-"
"2020/09/01","06:18","0.077","0.263","-"
"2020/09/01","06:24","0.074","0.265","-"
"2020/09/01","06:30","0.071","0.264","-"
"2020/09/01","06:36","0.069","0.261","-"
"2020/09/01","06:42","0.067","0.257","-"
"2020/09/01","06:48","0.065","0.255","-"
"2020/09/01","06:54","0.062","0.251","-"
"2020/09/01","07:00","0.06","0.244","-"
"2020/09/01","07:06","0.059","0.242","-"
"2020/09/01","07:12","0.057","0.243","-"
"2020/09/01","07:18","0.055","0.242","-"
"2020/09/01","07:24","0.054","0.244","-"
"2020/09/01","07:30","0.052","0.244","-"
"2020/09/01","07:36","0.051","0.244","-"
"2020/09/01","07:42","0.05","0.239","-"
"2020/09/01","07:48","0.049","0.232","-"
"2020/09/01","07:54","0.048","0.234","-"
"2020/09/01","08:00","0.048","0.237","-"
"2020/09/01","08:06","0.047","0.234","-"
"2020/09/01","08:12","0.047","0.231","-"
"2020/09/01","08:18","0.047","0.231","-"
"2020/09/01","08:24","0.046","0.232","-"
"2020/09/01","08:30","0.047","0.231","-"
"2020/09/01","08:36","0.047","0.23","-"
"2020/09/01","08:42","0.047","0.225","-"
"2020/09/01","08:48","0.047","0.224","-"
"2020/09/01","08:54","0.048","0.224","-"
"2020/09/01","09:00","0.048","0.222","-"
"2020/09/01","09:06","0.049","0.225","-"
"2020/09/01","09:12","0.05","0.223","-"
"2020/09/01","09:18","0.051","0.221","-"
"2020/09/01","09:24","0.052","0.216","-"
"2020/09/01","09:30","0.053","0.217","-"
"2020/09/01","09:36","0.055","0.228","-"
"2020/09/01","09:42","0.056","0.235","-"
"2020/09/01","09:48","0.058","0.234","-"
"2020/09/01","09:54","0.059","0.232","-"
"2020/09/01","10:00","0.061","0.233","-"
"2020/09/01","10:06","0.063","0.24","-"
"2020/09/01","10:12","0.065","0.24","-"
"2020/09/01","10:18","0.067","0.246","-"
"2020/09/01","10:24","0.069","0.245","-"
"2020/09/01","10:30","0.071","0.246","-"
"2020/09/01","10:36","0.073","0.253","-"
"2020/09/01","10:42","0.075","0.25","-"
"2020/09/01","10:48","0.077","0.257","-"
"2020/09/01","10:54","0.079","0.253","-"
"2020/09/01","11:00","0.082","0.262","-"
"2020/09/01","11:06","0.084","0.259","-"
"2020/09/01","11:12","0.086","0.256","-"
"2020/09/01","11:18","0.089","0.259","-"
"2020/09/01","11:24","0.091","0.262","-"
"2020/09/01","11:30","0.094","0.269","-"
"2020/09/01","11:36","0.096","0.267","-"
"2020/09/01","11:42","0.098","0.266","-"
"2020/09/01","11:48","0.101","0.275","-"
"2020/09/01","11:54","0.103","0.28","-"
"2020/09/01","12:00","0.106","0.28","-"
"2020/09/01","12:06","0.108","0.283","-"
"2020/09/01","12:12","0.11","0.291","-"
"2020/09/01","12:18","0.113","0.295","-"
"2020/09/01","12:24","0.115","0.294","-"
"2020/09/01","12:30","0.118","0.292","-"
"2020/09/01","12:36","0.12","0.29","-"
"2020/09/01","12:42","0.122","0.292","-"
"2020/09/01","12:48","0.124","0.296","-"
"2020/09/01","12:54","0.127","0.295","-"
"2020/09/01","13:00","0.129","0.302","-"
"2020/09/01","13:06","0.131","0.313","-"
"2020/09/01","13:12","0.133","0.316","-"
"2020/09/01","13:18","0.135","0.307","-"
"2020/09/01","13:24","0.137","0.304","-"
