date,time,water_level,water_temp,wind_speed,wind_dir,wind_gust,air_temp
01-07-20,00:00,0.359,29.6,8.89,176,10.68,-
01-07-20,01:00,0.328,29.5,7.58,177,9.38,-
01-07-20,02:00,0.294,29.4,7.46,174,11.02,-
01-07-20,03:00,0.268,29.3,7.65,175,9.45,-
01-07-20,04:00,0.247,29.2,7.2,177,8.1,-
01-07-20,05:00,0.225,29.1,8.3,183,10.4,-
01-07-20,06:00,0.228,29,7.4,186,10.7,-
01-07-20,07:00,0.237,28.9,6.8,180,8.6,-
01-07-20,08:00,0.265,28.9,8.1,182,10.1,-
01-07-20,09:00,0.295,28.8,5.3,195,7.4,-
01-07-20,10:00,0.312,28.7,5.5,201,10.6,-
01-07-20,11:00,0.328,28.6,4.6,220,7.5,-
01-07-20,12:00,0.341,28.6,4.7,218,7.4,-
01-07-20,13:00,0.349,28.5,4.8,186,8.2,-
01-07-20,14:00,0.355,28.4,4.8,216,8.1,-
01-07-20,15:00,0.353,28.4,8.6,203,11.6,-
01-07-20,16:00,0.36,28.5,6.5,236,8.6,-
01-07-20,17:00,0.375,28.6,5.78,225,8.64,-
01-07-20,18:00,0.38,28.8,6.68,186,9.66,-
01-07-20,19:00,0.392,29.3,6.68,177,11.47,-
01-07-20,20:00,0.411,29.6,7.59,172,11.09,-
01-07-20,21:00,0.403,29.9,7.91,174,10.71,-
01-07-20,22:00,0.383,30,8.87,167,11.99,-
01-07-20,23:00,0.358,30.1,8.9,178,11.69,-
02-07-20,00:00,0.337,30.2,9.04,175,13.03,-
02-07-20,01:00,0.312,30,9.01,174,11.47,-
02-07-20,02:00,0.287,29.8,9.62,177,10.98,-
02-07-20,03:00,0.259,29.7,7.37,177,7.94,-
02-07-20,04:00,0.233,29.5,8.16,181,10.24,-
02-07-20,05:00,0.206,29.4,7.86,181,10.08,-
02-07-20,06:00,0.179,29.3,8,192,9.6,-
02-07-20,07:00,0.163,29.2,6.78,181,9.23,-
02-07-20,08:00,0.184,29.1,7.71,187,9.28,-
02-07-20,09:00,0.205,29,8.91,191,11.89,-
02-07-20,10:00,0.231,28.9,6.25,203,10.09,-
02-07-20,11:00,0.257,28.9,4.13,208,6.11,-
02-07-20,12:00,0.276,28.8,4.85,179,5.57,-
02-07-20,13:00,0.296,28.8,4.98,173,6.45,-
02-07-20,14:00,0.305,28.7,5.11,205,8.9,-
02-07-20,15:00,0.318,28.7,6.04,209,8.94,-
02-07-20,16:00,0.329,28.8,6.66,188,10.17,-
02-07-20,17:00,0.341,29.1,5.2,218,7.96,-
02-07-20,18:00,0.368,29.4,7.32,172,9.23,-
02-07-20,19:00,0.374,29.8,5.12,154,5.97,-
02-07-20,20:00,0.375,30.3,5.42,146,8.13,-
02-07-20,21:00,0.377,30.6,9.53,130,11.1,-
02-07-20,22:00,0.37,30.8,6.99,163,9.73,-
02-07-20,23:00,0.342,31,7.76,174,8.64,-
03-07-20,00:00,0.309,30.9,7.61,172,8.93,-
03-07-20,01:00,0.275,30.8,6.89,171,8.3,-
03-07-20,02:00,0.231,30.6,5.81,183,6.97,-
03-07-20,03:00,0.199,30.4,6.06,176,6.82,-
03-07-20,04:00,0.164,30.3,4.23,177,5.67,-
03-07-20,05:00,0.141,30.1,5.18,175,6.19,-
03-07-20,06:00,0.117,29.9,5.1,170,6.22,-
03-07-20,07:00,0.097,29.7,4.79,168,6.22,-
03-07-20,08:00,0.093,29.5,5.4,171,7.1,-
03-07-20,09:00,0.116,29.3,4.53,163,6.19,-
03-07-20,10:00,0.148,29.2,4.21,165,5.26,-
03-07-20,11:00,0.179,29.1,3.01,205,4.73,-
03-07-20,12:00,0.209,29,3.45,227,4.01,-
03-07-20,13:00,0.239,28.9,3.09,239,3.62,-
03-07-20,14:00,0.261,28.9,2.74,246,4.57,-
03-07-20,15:00,0.282,29,2.6,214,4.82,-
03-07-20,16:00,0.301,29.1,2.31,256,5.45,-
03-07-20,17:00,0.314,29.2,2.06,180,2.42,-
03-07-20,18:00,0.34,29.5,6.11,90,6.87,-
03-07-20,19:00,0.358,29.9,7.11,119,8.32,-
03-07-20,20:00,0.357,30.2,7.01,126,8.08,-
03-07-20,21:00,0.357,30.7,6.67,156,7.61,-
03-07-20,22:00,0.339,30.9,5.05,174,7.45,-
03-07-20,23:00,0.31,31.2,5.69,151,7.17,-
04-07-20,00:00,0.276,31.3,3.68,168,7.2,-
