date,time,primary_water_level,water_level_sigma,air_temp,water_temp,wind_speed,wind_gust,wind_dir,precip
2000-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2000-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2001-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2002-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2003-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2004-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2005-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2007-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-09-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-10-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2009-12-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2010-02-01,0:00,RM,RM,NA,9.9,7.6,9.1,63,NA
2010-03-01,0:00,0.041,0.025,NA,16,8.4,12.4,146,NA
2010-04-01,0:00,0.073,0.011,NA,22.3,7.8,9.6,168,NA
2010-05-01,0:00,0.329,0.006,NA,26.3,6.4,8.1,163,NA
2010-06-01,0:00,0.199,0.017,NA,30.3,6.5,7.9,135,NA
2010-07-01,0:00,0.934,0.063,NA,29,10.6,12.1,53,NA
2010-08-01,0:00,0.045,0.011,NA,32,5.6,6.4,158,NA
2010-09-01,0:00,0.245,0.014,NA,31.9,8.1,9.9,141,NA
2010-10-01,0:00,0.212,0.001,NA,28.5,2.7,3.1,29,NA
2010-11-01,0:00,0.099,0.006,NA,22.4,4.2,5.8,151,NA
2010-12-01,0:00,0.071,0.002,NA,16.8,3.2,3.7,2,NA
2011-01-01,0:00,0.083,0.01,NA,21,6.9,8,43,NA
2011-02-01,0:00,-0.092,0.014,NA,20.5,6.4,8.4,144,NA
2011-03-01,0:00,0.054,0.015,NA,22,7.7,9,19,NA
2011-04-01,0:00,0.142,0.015,NA,23.9,6.2,7.6,139,NA
2011-05-01,0:00,0.385,0.008,NA,26.1,9.5,11.3,161,NA
2011-06-01,0:00,0.32,0.012,NA,29.9,8.4,9.3,111,NA
2011-07-01,0:00,0.381,0.018,NA,30,7.6,8.9,112,NA
2011-08-01,0:00,0.317,0.018,NA,31.7,7.2,8.1,148,NA
2011-09-01,0:00,0.118,0.016,NA,NA,7.8,8.5,115,NA
2011-10-01,0:00,-0.018,0.02,NA,28.3,6.3,7.2,123,NA
2011-11-01,0:00,-0.013,0.022,NA,21.9,7.6,9,116,NA
2011-12-01,0:00,-0.087,0.012,NA,15.5,4,4.6,132,NA
2012-01-01,0:00,-0.042,0.003,NA,18.4,6.9,7.7,168,NA
2012-02-01,0:00,0.084,0.001,NA,18.3,5.4,5.8,124,NA
2012-03-01,0:00,0.206,0.002,NA,23.6,4.9,5.6,82,NA
2012-04-01,0:00,0.208,0.018,NA,27.6,6.7,8,152,NA
2012-05-01,0:00,0.307,0.019,NA,26.9,9.2,13.6,132,NA
2012-06-01,0:00,0.196,0.038,NA,29.9,8.2,11.9,139,NA
2012-07-01,0:00,0.423,0.025,NA,RM,7.7,8.9,110,NA
2012-08-01,0:00,0.268,0.014,NA,RM,7.2,8.6,148,NA
2012-09-01,0:00,0.273,0.012,NA,RM,7.6,10.3,151,NA
2012-10-01,0:00,-0.077,0.008,NA,RM,4.9,6.6,355,NA
2012-11-01,0:00,0.04,0.006,NA,23,5.4,6.2,133,NA
2012-12-01,0:00,0.159,0.002,NA,20,4.4,6.4,155,NA
2013-01-01,0:00,0.02,0.003,NA,15.3,5.2,6.9,153,NA
2013-02-01,0:00,-0.188,0.004,NA,15.8,4.7,6.4,163,NA
2013-03-01,0:00,-0.049,0.001,NA,14.7,4.4,4.8,21,NA
2013-04-01,0:00,0.279,0.002,NA,23.7,6,7.5,96,NA
2013-05-01,0:00,0.434,0.008,NA,25.5,7.2,8.8,146,NA
2013-06-01,0:00,0.455,0.009,NA,29.4,9.6,10.8,154,NA
2013-07-01,0:00,-0.145,0.002,NA,27.7,3,3.7,357,NA
2013-08-01,0:00,0.034,0.012,NA,31.4,7.2,7.9,144,NA
2013-09-01,0:00,0.282,0.006,NA,30.9,5,7,151,NA
2013-10-01,0:00,0.306,0.003,NA,29.2,3.6,5,159,NA
2013-11-01,0:00,0.378,0.001,NA,26.9,4.6,5.5,12,NA
2013-12-01,0:00,0.167,0.001,NA,14.9,3.5,3.6,113,NA
2014-01-01,0:00,-0.04,0.001,NA,10,3.4,4,0,NA
2014-02-01,0:00,0.068,0.005,NA,15.3,10.2,12.8,167,NA
2014-03-01,0:00,0.13,0.002,NA,17.7,7,8.8,167,NA
2014-04-01,0:00,0.322,0.008,NA,22.8,9,11.9,161,NA
2014-05-01,0:00,0.238,0.002,NA,22.9,4.1,5.1,118,NA
2014-06-01,0:00,0.268,0.009,NA,29.8,5,5.5,142,NA
2014-07-01,0:00,0.348,0.02,NA,29.9,9.1,11,157,NA
2014-08-01,0:00,0.114,0.016,NA,31.6,8.5,10.4,163,NA
2014-09-01,0:00,0.252,0.014,NA,29.3,8.8,10.5,125,NA
2014-10-01,0:00,0.304,0.008,NA,28.1,5,6.4,112,NA
2014-11-01,0:00,0.151,0.003,NA,25.3,2.9,3.6,36,NA
2014-12-01,0:00,0.114,0.003,NA,20,5.7,7.4,158,NA
2015-01-01,0:00,0.252,0.005,NA,10.7,5.5,6.3,25,NA
2015-02-01,0:00,0.124,0.003,NA,18.2,5.9,8.4,160,NA
2015-03-01,0:00,0.251,0.001,NA,10.9,2.6,3.4,80,NA
2015-04-01,0:00,0.032,0.006,NA,23.3,7.2,9,325,NA
2015-05-01,0:00,0.189,NA,NA,NA,NA,NA,NA,NA
2015-06-01,0:00,0.336,0.004,NA,29.9,3.4,3.9,46,NA
2015-07-01,0:00,0.062,0.003,NA,29.3,2.2,2.8,56,NA
2015-08-01,0:00,RM,RM,NA,32.6,11.1,18.4,38,NA
2015-09-01,0:00,0.284,0.004,NA,28.7,1.8,2.2,141,NA
2015-10-01,0:00,0.354,0.002,NA,29.9,1.3,2.6,82,NA
2015-11-01,0:00,0.371,0.003,NA,25.4,5.4,7.1,304,NA
2015-12-01,0:00,0.18,0.002,NA,15.7,5,5.9,317,NA
2016-01-01,0:00,0.268,0.004,NA,12.1,3,4.4,11,NA
2016-02-01,0:00,0.142,0.003,NA,18.7,1.4,1.5,120,NA
2016-03-01,0:00,0.153,0.01,NA,21.3,5.4,7.5,109,NA
2016-04-01,0:00,0.433,0.004,NA,26.1,2.8,3.7,85,NA
2016-05-01,0:00,0.63,0.002,NA,29.8,3.8,5.1,60,NA
2016-06-01,0:00,0.425,0.004,NA,29.2,3.5,8.9,66,NA
2016-07-01,0:00,0.195,0.009,NA,33.5,3.6,4,67,NA
2016-08-01,0:00,0.304,0.013,NA,31.2,4.1,7.6,111,NA
2016-09-01,0:00,0.5,0.005,NA,30.2,3.4,5.2,321,NA
2016-10-01,0:00,0.329,0.007,NA,27.1,4.4,6,336,NA
2016-11-01,0:00,0.53,0.008,NA,27.1,7.2,9,111,NA
2016-12-01,0:00,0.184,0.003,NA,20.9,4.9,5,63,NA
2017-01-01,0:00,0.3,0.001,NA,17.3,2.7,3.9,234,NA
2017-02-01,0:00,-0.126,0.004,NA,16.8,7.2,9,170,NA
2017-03-01,0:00,0.248,0.003,NA,23.7,8.1,11.9,165,NA
2017-04-01,0:00,0.462,0.002,NA,24.5,8.1,11.3,148,NA
2017-05-01,0:00,0.498,0.001,NA,25.2,3.5,4.1,351,NA
2017-06-01,0:00,0.36,0.002,NA,29.2,7.4,8.7,112,NA
2017-07-01,0:00,0.4,0.002,NA,31.1,9.8,12.4,169,NA
2017-08-01,0:00,0.124,0.003,NA,32.3,6.6,7.6,142,NA
2017-09-01,0:00,-0.002,0.008,NA,30.7,6.4,7.7,147,NA
2017-10-01,0:00,0.408,0.006,NA,27.9,4.6,5.6,117,NA
2017-11-01,0:00,0.295,0.003,NA,20.9,6.3,8,140,NA
2017-12-01,0:00,0.304,0.002,NA,23.2,4.9,5.5,92,NA
2018-01-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2018-02-01,0:00,0.086,0.002,NA,16.9,6.6,9.4,137,NA
2018-03-01,0:00,0.36,0.004,NA,23.2,11.3,14.8,157,NA
2018-04-01,0:00,0.395,0.002,NA,25,7.7,9.9,124,NA
2018-05-01,0:00,0.333,0.003,NA,24.1,8.8,11.2,111,NA
2018-06-01,0:00,0.387,0.005,NA,30.3,8.8,11.6,113,NA
2018-07-01,0:00,0.297,0.003,NA,30.5,11.7,13.7,137,NA
2018-08-01,0:00,0.293,0.005,NA,32,10.3,14.6,63,NA
2018-09-01,0:00,0.319,0.003,NA,31.5,8,8.9,95,NA
2018-10-01,0:00,0.36,0.001,NA,27.7,4.5,5.6,68,NA
2018-11-01,0:00,0.259,0.001,NA,25.1,8.4,10.1,138,NA
2018-12-01,0:00,0.211,0.001,NA,19.4,6.5,7.7,137,NA
2019-01-01,0:00,0.262,0.001,NA,13.5,2.2,2.4,57,NA
2019-02-01,0:00,0.363,0.003,NA,12.8,7.5,9.6,44,NA
2019-03-01,0:00,0.346,0.004,NA,18.7,6.7,8.5,82,NA
2019-04-01,0:00,0.268,0.001,NA,16.2,5.7,6.3,348,NA
2019-05-01,0:00,0.543,0.001,NA,25.7,10.1,12.3,139,NA
2019-06-01,0:00,0.477,0.002,NA,30.5,5.9,8.5,101,NA
2019-07-01,0:00,0.392,0.002,NA,30.9,6.5,8.4,116,NA
2019-08-01,0:00,NA,NA,NA,NA,NA,NA,NA,NA
2019-09-01,0:00,0.387,0.002,NA,31.8,6.3,7.5,94,NA
2019-10-01,0:00,0.621,0.003,NA,29.9,7.6,8.7,154,NA
2019-11-01,0:00,0.104,0.001,NA,15.6,5.6,6.7,16,NA
2019-12-01,0:00,0.241,0.002,NA,23,6.1,7.8,190,NA
2020-01-01,0:00,0.115,0.003,NA,14.9,5.5,6.1,99,NA
2020-02-01,0:00,0.244,0,NA,14.7,4,4.7,340,NA
2020-03-01,0:00,0.16,0.002,NA,16.5,10.1,11.9,187,NA
2020-04-01,0:00,0.418,0.002,NA,25.2,6.6,8,55,NA
2020-05-01,0:00,0.451,0.004,NA,27.4,6.8,8.2,176,NA
2020-06-01,0:00,NA,0.004,NA,28.2,6.3,6.8,118,NA
2020-07-01,0:00,0.359,0.006,NA,29.6,8.9,10.7,176,NA
2020-08-01,0:00,0.288,0.002,NA,31.4,7,7.9,161,NA
2020-09-01,0:00,0.483,0.002,NA,31.3,10.3,13.7,183,NA
2020-10-01,0:00,0.465,0.001,NA,NA,4.5,5.1,140,NA
2020-11-01,0:00,0.311,0.001,NA,20.1,5.5,6.5,152,NA
2020-12-01,0:00,0.025,0.001,NA,16,2.7,4,344,NA
