STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CLDD,CLDD_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-01,0,"2,E",5,"1,E",0,"1,E",-2.5,"1,E,12,",59.9,",,E,26,",20.7,"1,E,05,",249.3,"1,E",157.5,",,,E",9.6,"2,E",13.8,"1,,,E",5.4,"1,,,E"
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-02,1.4,",E",2,",E",0,",E",-0.7,",E,15,",26.1,",,E,05,",29,",E,27,",235.9,",E",213.5,",,,E",10.3,",E",13.9,",,,E",6.6,",,,E"
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-03,0.2,",E",0,",E",0,",E",5.3,",E,16,",28,",,E,13,",27.8,",E,20,",179.7,",E",211.8,",,,E",12.6,",E",16.5,",,,E",8.6,",,,E"
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-04,0,",E",0,",E",0,",E",6,",E,01,",34.8,",,E,02,",24,",E,22,",116,",E",69.1,",,,E",14.5,",E",19.7,",,,E",9.3,",,,E"
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-05,12.3,",E",0,",E",0,",E",7.6,",E,04,",29.6,",,E,11,",29.3,",E,24,",86,",E",109.1,",,,E",15.9,",E",20,",,,E",11.9,",,,E"
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-06,44.8,",E",0,",E",1,",E",9.8,",E,07,",1.6,",,E,02,",33,",E,26,",15.1,",E",4.2,",,,E",19.3,",E",24.3,",,,E",14.4,",,,E"
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-07,56,",E",0,",E",3,",E",10,",E,09,",5.2,",,E,30,",36.9,",E,24,",9.8,",E",6.6,",,,E",19.8,",E",25.4,",,,E",14.3,",,,E"
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-08,20.8,",E",0,",E",0,",E",10.3,",E,12,",35.5,",,E,16,",28.9,",E,29,",14.6,",E",81.1,",,,E",18.5,",E",23.4,",,,E",13.6,",,,E"
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-09,18.9,",E",0,",E",0,",E",9.3,",E,16,",33,",,E,29,",29.1,",E,07,",27.2,",E",98.9,",,,E",18.1,",E",23,",,,E",13.1,",,,E"
PO000008546,"PORTO, PO",41.1331,-8.6,93,1960-10,0,",E",0,",E",0,",E",6.3,",E,28,",60.6,",,E,21,",21.2,",E,15,+",116.5,",E",434.5,",,,E",14.6,",E",18.4,",,,E",10.8,",,,E"
