STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMIN,PEAK_SPEED,PEAK_DIR
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/22/1999,9.8,",,X",115.8,",,0",25.6,",,W",27.8,23.3,10.28192,130
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/23/1999,10.9,",,X",51.8,",,0",25.6,",,W",28.3,22.8,8.9408,100
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/24/1999,5.2,",,X",5.3,",,0",27.2,",,W",31.1,23.3,8.04672,140
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/16/1999,4.8,",,X",0,",,0",28.3,",,W",35,21.7,8.04672,90
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/25/1999,2.8,",,X",0,",,0",28.3,",,W",31.7,25,9.38784,100
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/31/1999,2.6,",,X",0,",,0",28.3,",,W",33.9,22.8,11.176,110
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/2/1999,2.8,",,X",0,",,0",28.9,",,W",35,22.2,9.83488,130
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/3/1999,2.2,",,X",0,",,0",28.9,",,W",34.4,22.8,10.72896,140
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/4/1999,2.3,",,X",0,",,0",28.9,",,W",35.6,22.2,11.176,120
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/5/1999,2.7,",,X",0,",,0",28.9,",,W",36.7,20.6,12.51712,150
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/6/1999,2.8,",,X",0,",,0",28.9,",,W",36.1,21.7,13.4112,150
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/15/1999,3.3,",,X",0,",,0",28.9,",,W",36.7,21.1,13.85824,160
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/17/1999,3.3,",,X",19.8,",,0",28.9,",,W",33.3,24.4,14.75232,190
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/18/1999,2.6,",,X",0,",,0",28.9,",,W",35,22.8,9.38784,140
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/26/1999,3.2,",,X",0,"T,,0",28.9,",,W",32.2,25,9.38784,100
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/28/1999,2.9,",,X",0,",,0",28.9,",,W",32.8,24.4,11.62304,100
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/1/1999,4.5,",,X",0,",,0",29.4,",,W",34.4,24.4,10.72896,140
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/7/1999,3.2,",,X",0,",,0",29.4,",,W",36.7,21.7,9.83488,110
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/8/1999,4.6,",,X",0,",,0",29.4,",,W",36.1,22.8,8.04672,130
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/19/1999,2.6,",,X",0,",,0",29.4,",,W",36.1,22.8,8.9408,140
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/21/1999,3.5,",,X",0,",,0",29.4,",,W",35.6,22.8,10.72896,120
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/29/1999,1.9,",,X",0,",,0",29.4,",,W",35,23.9,24.5872,90
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,8/9/1999,5.1,",,X",0,",,0",30,",,W",36.7,22.8,24.14016,150
